label,user,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
1,ugur,2018-03-20 20:47:44,83981299299212,0.4262848,1.480957,9.370346
1,ugur,2018-03-20 20:47:44,83981241897338,0.04321289,1.4737701,10.167618
1,ugur,2018-03-20 20:47:44,83981189245723,0.6339874,1.4576111,9.2057495
1,ugur,2018-03-20 20:47:44,83981135348171,0.29640198,1.5850983,9.518188
1,ugur,2018-03-20 20:47:44,83981081010567,0.35565186,1.6066437,9.415848
1,ugur,2018-03-20 20:47:44,83981027691973,0.0934906,1.5838928,9.754028
1,ugur,2018-03-20 20:47:44,83980975916973,0.13778687,1.5473938,9.579849
1,ugur,2018-03-20 20:47:44,83980921453900,0.24493408,1.5545654,9.590012
1,ugur,2018-03-20 20:47:44,83980866328483,0.13897705,1.5186615,9.670227
1,ugur,2018-03-20 20:47:44,83980809827338,0.21200562,1.4971161,9.613968
1,ugur,2018-03-20 20:47:44,83980756452286,0.07913208,1.5234528,9.614563
1,ugur,2018-03-20 20:47:44,83980703862077,0.09588623,1.4911194,9.488266
1,ugur,2018-03-20 20:47:44,83980651584577,0.15873718,1.5300293,9.716919
1,ugur,2018-03-20 20:47:44,83980597680202,0.08152771,1.5001068,9.696564
1,ugur,2018-03-20 20:47:44,83980544168484,0.09768677,1.5072784,9.669022
1,ugur,2018-03-20 20:47:44,83980491153796,0.16113281,1.5396118,9.62413
1,ugur,2018-03-20 20:47:44,83980438360463,0.10964966,1.5791168,9.485275
1,ugur,2018-03-20 20:47:44,83980383291505,0.022262573,1.4755554,9.697159
1,ugur,2018-03-20 20:47:44,83980329835619,0.109054565,1.564743,9.565475
1,ugur,2018-03-20 20:47:44,83980274744890,0.21260071,1.6156311,9.611572
1,ugur,2018-03-20 20:47:44,83980217585932,-0.0154418945,1.4713745,9.585831
1,ugur,2018-03-20 20:47:44,83980164087755,-0.02861023,1.5479889,9.746246
1,ugur,2018-03-20 20:47:44,83980109285411,0.17669678,1.6371765,9.607376
1,ugur,2018-03-20 20:47:44,83980057369161,0.02885437,1.6335754,9.654068
1,ugur,2018-03-20 20:47:44,83980003004630,-0.046569824,1.5312347,9.485275
1,ugur,2018-03-20 20:47:44,83979949611765,-0.104034424,1.6144257,9.653458
1,ugur,2018-03-20 20:47:44,83979895015255,-0.03100586,1.6192169,9.610367
1,ugur,2018-03-20 20:47:44,83979841219421,-0.06991577,1.5731201,9.685181
1,ugur,2018-03-20 20:47:44,83979787885046,0.1000824,1.7119904,9.390701
1,ugur,2018-03-20 20:47:44,83979733676713,0.08152771,1.6617126,9.809082
1,ugur,2018-03-20 20:47:44,83979679765307,-0.15370178,1.5635529,9.466721
1,ugur,2018-03-20 20:47:44,83979626815463,-0.1124115,1.6365662,9.472702
1,ugur,2018-03-20 20:47:44,83979572947234,-0.10462952,1.6287842,9.618744
1,ugur,2018-03-20 20:47:44,83979520490359,-0.118392944,1.5354156,9.618744
1,ugur,2018-03-20 20:47:44,83979467123484,-0.11061096,1.7341309,9.612167
1,ugur,2018-03-20 20:47:44,83979413300567,-0.17526245,1.6521301,9.842606
1,ugur,2018-03-20 20:47:44,83979358274474,-0.22193909,1.6072388,9.610962
1,ugur,2018-03-20 20:47:44,83979304379161,-0.025024414,1.7269592,9.52298
1,ugur,2018-03-20 20:47:44,83979252328380,-0.1058197,1.5862885,9.595413
1,ugur,2018-03-20 20:47:44,83979199650828,-0.22554016,1.6617126,9.639694
1,ugur,2018-03-20 20:47:44,83979145938432,-0.2099762,1.6018524,9.5971985
1,ugur,2018-03-20 20:47:44,83979092643536,-0.21894836,1.6479492,9.524185
1,ugur,2018-03-20 20:47:44,83979040789578,-0.14772034,1.6102295,9.638504
1,ugur,2018-03-20 20:47:44,83978983180932,-0.16926575,1.6485443,9.615753
1,ugur,2018-03-20 20:47:44,83978928179318,-0.18722534,1.5874939,9.601395
1,ugur,2018-03-20 20:47:44,83978873490515,-0.14712524,1.6168213,9.615158
1,ugur,2018-03-20 20:47:44,83978819700463,-0.2033844,1.6617126,9.6008
1,ugur,2018-03-20 20:47:44,83978766011818,-0.10282898,1.6617126,9.752228
1,ugur,2018-03-20 20:47:44,83978714048641,-0.18663025,1.6581268,9.598999
