label,user,collection_datetime,device_timestamp,rotvecgyro_x,rotvecgyro_y,rotvecgyro_z
1,ugur,2018-03-20 20:47:44,83981298290723,0.077330425,-0.012750139,-0.019415736
1,ugur,2018-03-20 20:47:44,83981241415306,0.075600445,-0.01215212,-0.020219963
1,ugur,2018-03-20 20:47:44,83981187360931,0.07831693,-0.01481515,-0.020126326
1,ugur,2018-03-20 20:47:44,83981133988796,0.080370806,-0.014703427,-0.019940164
1,ugur,2018-03-20 20:47:44,83981079585202,0.080977835,-0.014506791,-0.020076288
1,ugur,2018-03-20 20:47:44,83981027332077,0.08002768,-0.012282963,-0.020201053
1,ugur,2018-03-20 20:47:44,83980974466921,0.07963513,-0.010858012,-0.020061297
1,ugur,2018-03-20 20:47:44,83980919568379,0.079309754,-0.010481586,-0.02006684
1,ugur,2018-03-20 20:47:44,83980864314108,0.078601845,-0.0097543,-0.020545224
1,ugur,2018-03-20 20:47:44,83980808708067,0.07801074,-0.009003846,-0.02090144
1,ugur,2018-03-20 20:47:44,83980755774004,0.07781332,-0.008380002,-0.021245884
1,ugur,2018-03-20 20:47:44,83980703178796,0.07744961,-0.008224,-0.021677922
1,ugur,2018-03-20 20:47:44,83980650684786,0.0768427,-0.0081468215,-0.022162657
1,ugur,2018-03-20 20:47:44,83980596608536,0.07720187,-0.0076674907,-0.022313854
1,ugur,2018-03-20 20:47:44,83980543280515,0.07758016,-0.007912473,-0.022660067
1,ugur,2018-03-20 20:47:44,83980490674317,0.07825469,-0.007274605,-0.022938924
1,ugur,2018-03-20 20:47:44,83980436888223,0.07888387,-0.006781585,-0.023175342
1,ugur,2018-03-20 20:47:44,83980381560619,0.078926146,-0.006577891,-0.02341733
1,ugur,2018-03-20 20:47:44,83980327769942,0.07956235,-0.006011856,-0.023498364
1,ugur,2018-03-20 20:47:44,83980272459838,0.079303555,-0.005012608,-0.023544421
1,ugur,2018-03-20 20:47:44,83980216632755,0.07945889,-0.004534139,-0.024308328
1,ugur,2018-03-20 20:47:44,83980160876348,0.07966143,-0.004156615,-0.024532488
1,ugur,2018-03-20 20:47:44,83980108691765,0.080148906,-0.0035532517,-0.02430636
1,ugur,2018-03-20 20:47:44,83980056111921,0.08049451,-0.002599104,-0.024717804
1,ugur,2018-03-20 20:47:44,83980002429630,0.08116342,-0.0024987345,-0.025180887
1,ugur,2018-03-20 20:47:44,83979948458015,0.08209191,-0.0024115425,-0.02549896
1,ugur,2018-03-20 20:47:44,83979893718223,0.08270595,-0.0024345752,-0.025628418
1,ugur,2018-03-20 20:47:44,83979839440671,0.0830091,-0.0017170387,-0.025848048
1,ugur,2018-03-20 20:47:44,83979786903171,0.08420941,-0.001403094,-0.025902988
1,ugur,2018-03-20 20:47:44,83979732345046,0.083695665,0.000143005,-0.027093979
1,ugur,2018-03-20 20:47:44,83979679151661,0.08459696,0.0013751385,-0.028107088
1,ugur,2018-03-20 20:47:44,83979624390255,0.08450342,0.0020946402,-0.02864367
1,ugur,2018-03-20 20:47:44,83979572103276,0.083717905,0.0027848154,-0.029203482
1,ugur,2018-03-20 20:47:44,83979518645724,0.08396569,0.003461915,-0.029665908
1,ugur,2018-03-20 20:47:44,83979465545619,0.08386161,0.004044907,-0.030183574
1,ugur,2018-03-20 20:47:44,83979412156244,0.083045445,0.0046534264,-0.031230232
1,ugur,2018-03-20 20:47:44,83979355957182,0.08333371,0.0049547404,-0.03180227
1,ugur,2018-03-20 20:47:44,83979303522286,0.08378487,0.005352481,-0.032108434
1,ugur,2018-03-20 20:47:44,83979251543797,0.08342981,0.0063840807,-0.0328426
1,ugur,2018-03-20 20:47:44,83979198044995,0.08380671,0.0066603567,-0.034089558
