label,user,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
1,ugur,2018-03-20 20:47:44,83981298677181,233.23499,-8.8988085,1.2843446
1,ugur,2018-03-20 20:47:44,83981241121921,233.40286,-8.69945,1.2130784
1,ugur,2018-03-20 20:47:44,83981188384317,233.51056,-9.01857,1.5114974
1,ugur,2018-03-20 20:47:44,83981133156035,233.54015,-9.254106,1.4954442
1,ugur,2018-03-20 20:47:44,83981078756504,233.74707,-9.323569,1.4702508
1,ugur,2018-03-20 20:47:44,83981026564004,233.73131,-9.208608,1.217453
1,ugur,2018-03-20 20:47:44,83980975359473,233.57616,-9.159628,1.0569507
1,ugur,2018-03-20 20:47:44,83980920828744,233.59482,-9.121269,1.01469
1,ugur,2018-03-20 20:47:44,83980861595879,233.35794,-9.011797,0.92034304
1,ugur,2018-03-20 20:47:44,83980809286713,233.28842,-8.96892,0.84153706
1,ugur,2018-03-20 20:47:44,83980755271973,233.15198,-8.944873,0.7676935
1,ugur,2018-03-20 20:47:44,83980702756036,233.06464,-8.902987,0.74694437
1,ugur,2018-03-20 20:47:44,83980651294734,232.98343,-8.833393,0.73540175
1,ugur,2018-03-20 20:47:44,83980596995411,232.90305,-8.8810835,0.6776135
1,ugur,2018-03-20 20:47:44,83980543633119,232.9541,-8.917845,0.7022767
1,ugur,2018-03-20 20:47:44,83980490850567,233.05032,-8.993767,0.6251216
1,ugur,2018-03-20 20:47:44,83980435968379,233.16727,-9.064831,0.5649807
1,ugur,2018-03-20 20:47:44,83980382695307,233.21585,-9.069249,0.5394109
1,ugur,2018-03-20 20:47:44,83980326452286,233.35262,-9.142079,0.46366817
1,ugur,2018-03-20 20:47:44,83980269566609,233.12216,-9.10451,0.35007972
1,ugur,2018-03-20 20:47:44,83980216984525,233.24399,-9.125013,0.29643834
1,ugur,2018-03-20 20:47:44,83980162643744,233.20313,-9.147263,0.25070632
1,ugur,2018-03-20 20:47:44,83980109000098,233.28899,-9.201507,0.18250082
1,ugur,2018-03-20 20:47:44,83980055433640,233.23273,-9.238549,0.06878003
1,ugur,2018-03-20 20:47:44,83980000977025,233.36107,-9.315166,0.05109879
1,ugur,2018-03-20 20:47:44,83979949062703,233.56833,-9.421644,0.035448685
1,ugur,2018-03-20 20:47:44,83979894396348,233.6402,-9.492297,0.03504229
1,ugur,2018-03-20 20:47:44,83979840570776,233.68442,-9.516283,-0.04063579
1,ugur,2018-03-20 20:47:44,83979787261661,233.66809,-9.66206,-0.089798674
1,ugur,2018-03-20 20:47:44,83979731432651,233.59888,-9.600442,-0.30980483
1,ugur,2018-03-20 20:47:44,83979678532755,233.81021,-9.697571,-0.42942822
1,ugur,2018-03-20 20:47:44,83979626189786,233.69675,-9.691696,-0.51182365
