label,user,collection_datetime,device_timestamp,mag_x,mag_y,mag_z
1,ugur,2018-03-20 20:47:44,83981293953431,11.761475,-16.802979,-39.598083
1,ugur,2018-03-20 20:47:44,83981241269160,10.997009,-16.804504,-39.59961
1,ugur,2018-03-20 20:47:44,83981186868275,13.278198,-16.773987,-38.17444
1,ugur,2018-03-20 20:47:44,83981133644838,12.530518,-18.939209,-36.730957
1,ugur,2018-03-20 20:47:44,83981079290827,12.510681,-16.05835,-38.894653
1,ugur,2018-03-20 20:47:44,83981026848588,13.265991,-16.749573,-36.753845
1,ugur,2018-03-20 20:47:44,83980974191817,14.057922,-17.512512,-38.876343
1,ugur,2018-03-20 20:47:44,83980919063275,12.501526,-16.752625,-36.75537
1,ugur,2018-03-20 20:47:44,83980861903588,13.2751465,-17.478943,-36.746216
1,ugur,2018-03-20 20:47:44,83980808430098,14.7872925,-15.309143,-38.18817
1,ugur,2018-03-20 20:47:44,83980755565046,10.978699,-16.76941,-37.467957
1,ugur,2018-03-20 20:47:44,83980702982077,14.028931,-15.324402,-38.900757
1,ugur,2018-03-20 20:47:44,83980650338588,13.2751465,-16.055298,-38.893127
1,ugur,2018-03-20 20:47:44,83980595318171,13.249207,-14.585876,-38.198853
1,ugur,2018-03-20 20:47:44,83980542056192,11.729431,-15.319824,-38.19275
1,ugur,2018-03-20 20:47:44,83980489963327,14.045715,-17.488098,-37.45575
1,ugur,2018-03-20 20:47:44,83980436607286,13.2873535,-17.503357,-38.16681
1,ugur,2018-03-20 20:47:44,83980381048119,11.746216,-17.48352,-36.749268
1,ugur,2018-03-20 20:47:44,83980326773432,15.586853,-17.506409,-38.87329
1,ugur,2018-03-20 20:47:44,83980269844838,12.513733,-16.775513,-38.175964
1,ugur,2018-03-20 20:47:44,83980215238327,14.027405,-16.029358,-37.47101
1,ugur,2018-03-20 20:47:44,83980160216661,13.293457,-17.514038,-38.87787
1,ugur,2018-03-20 20:47:44,83980108541713,14.033508,-16.041565,-38.182068
1,ugur,2018-03-20 20:47:44,83980055783848,15.5685425,-17.471313,-36.743164
