label,user,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
1,ugur,2018-03-20 20:47:44,83981297948692,0.20853512,-0.021449924,-0.22513008
1,ugur,2018-03-20 20:47:44,83981241581140,-0.1625001,0.004404664,0.56465435
1,ugur,2018-03-20 20:47:44,83981188053379,0.37788817,-0.0637877,-0.37987518
1,ugur,2018-03-20 20:47:44,83981134649213,0.0426358,0.02191627,-0.075777054
1,ugur,2018-03-20 20:47:44,83981079899473,0.10595973,0.030550122,-0.18401909
1,ugur,2018-03-20 20:47:44,83981027185723,-0.113355234,0.026306987,0.14634895
1,ugur,2018-03-20 20:47:44,83980974773848,-0.041731417,-0.0015338659,-0.026402473
1,ugur,2018-03-20 20:47:44,83980920450983,0.07118325,0.011397243,-0.020447731
1,ugur,2018-03-20 20:47:44,83980865654265,-0.02139379,-0.052069426,-0.0046253204
1,ugur,2018-03-20 20:47:44,83980809015879,0.06899898,-0.02069199,-0.002855301
1,ugur,2018-03-20 20:47:44,83980756160202,-0.051343724,0.0094566345,-0.0043201447
1,ugur,2018-03-20 20:47:44,83980703390931,-0.031125471,-0.01659,-0.13648224
1,ugur,2018-03-20 20:47:44,83980651139213,0.033628866,0.033299685,0.08576584
1,ugur,2018-03-20 20:47:44,83980596222234,-0.03372384,-0.0013498068,0.07932377
1,ugur,2018-03-20 20:47:44,83980542657807,-0.021639526,-0.0017974377,0.051861763
1,ugur,2018-03-20 20:47:44,83980490494265,0.054977454,0.018654704,0.014418602
1,ugur,2018-03-20 20:47:44,83980437546869,0.013635211,0.045081973,-0.12981224
1,ugur,2018-03-20 20:47:44,83980382318692,-0.069440715,-0.0597986,0.07856941
1,ugur,2018-03-20 20:47:44,83980327488327,0.028766043,0.017431378,-0.017332077
1,ugur,2018-03-20 20:47:44,83980270710932,0.06905927,0.089766264,-0.0138988495
1,ugur,2018-03-20 20:47:44,83980216260515,-0.06586611,-0.07422602,-0.03677368
1,ugur,2018-03-20 20:47:44,83980161959890,-0.031135313,-0.017986178,0.15089512
1,ugur,2018-03-20 20:47:44,83980108856453,0.14569983,0.08105576,0.0011968613
1,ugur,2018-03-20 20:47:44,83980056779630,0.017172813,0.07129276,0.049193382
1,ugur,2018-03-20 20:47:44,83980001753744,-0.055254452,-0.04498267,-0.12416077
1,ugur,2018-03-20 20:47:44,83979948783171,-0.11005776,0.020745873,0.04933548
1,ugur,2018-03-20 20:47:44,83979894061869,-0.036963142,0.012874484,0.0033092499
1,ugur,2018-03-20 20:47:44,83979840278432,-0.063010655,-0.03654468,0.082966805
1,ugur,2018-03-20 20:47:44,83979786375880,0.12552215,0.057245493,-0.21452904
1,ugur,2018-03-20 20:47:44,83979733093328,0.12847413,0.03779745,0.20601082
1,ugur,2018-03-20 20:47:44,83979679467755,-0.0807505,-0.07598424,-0.1274147
1,ugur,2018-03-20 20:47:44,83979625622286,-0.025339969,-0.004291773,-0.1350975
1,ugur,2018-03-20 20:47:44,83979572285671,-0.0028950348,0.004785657,0.008398056
1,ugur,2018-03-20 20:47:44,83979519440151,-0.015889578,-0.06689334,-0.043574333
1,ugur,2018-03-20 20:47:44,83979465890099,0.017321333,0.107580185,-0.0012702942
1,ugur,2018-03-20 20:47:44,83979412797286,-0.03436336,0.042640805,0.23144436
1,ugur,2018-03-20 20:47:44,83979357459578,-0.105324686,-0.022525787,0.05565834
1,ugur,2018-03-20 20:47:44,83979303716453,0.13121817,0.1048553,-0.07929516
1,ugur,2018-03-20 20:47:44,83979251895984,0.07149716,-0.02900958,-0.012655258
1,ugur,2018-03-20 20:47:44,83979198384370,-0.040623948,0.03983569,0.03455162
1,ugur,2018-03-20 20:47:44,83979144982807,-0.03112647,-0.024833798,-0.009502411
1,ugur,2018-03-20 20:47:44,83979092206922,-0.043475837,0.017519474,-0.07933712
1,ugur,2018-03-20 20:47:44,83979039194057,0.023331195,-0.014703751,0.02748394
1,ugur,2018-03-20 20:47:44,83978981628432,0.0032425523,0.024688005,0.0063877106
1,ugur,2018-03-20 20:47:44,83978927867963,-0.01641585,-0.039735436,-0.012120247
1,ugur,2018-03-20 20:47:44,83978871783380,0.01917556,-0.0085361,0.004272461
1,ugur,2018-03-20 20:47:44,83978818150776,-0.035663128,0.07198274,-0.021512985
1,ugur,2018-03-20 20:47:44,83978765418745,0.06849067,0.046092033,0.14243603
1,ugur,2018-03-20 20:47:44,83978713627703,-0.0054216087,0.038651824,0.0073013306
1,ugur,2018-03-20 20:47:44,83978661873745,-0.003789708,-0.02422738,-0.0407362
1,ugur,2018-03-20 20:47:44,83978608535776,0.13431816,-0.033504486,-0.06583023
1,ugur,2018-03-20 20:47:44,83978555407651,0.06553672,-0.06416917,0.10678768
1,ugur,2018-03-20 20:47:44,83978499697547,0.070183545,0.015861988,-0.07672691
1,ugur,2018-03-20 20:47:44,83978446349786,-0.054589614,0.0062664747,0.116496086
1,ugur,2018-03-20 20:47:44,83978391781505,-0.043744072,0.018271089,-0.09012222
1,ugur,2018-03-20 20:47:44,83978338222703,-0.033575103,-0.0021995306,0.0048151016
1,ugur,2018-03-20 20:47:44,83978285164578,-0.03623019,0.015041113,-0.034283638
1,ugur,2018-03-20 20:47:44,83978232832964,0.05301863,-0.15906608,0.11316681
1,ugur,2018-03-20 20:47:44,83978179050047,0.0294469,0.070264935,-0.10093403
1,ugur,2018-03-20 20:47:44,83978124380724,-0.044754192,0.086383104,-0.007211685
1,ugur,2018-03-20 20:47:44,83978069896089,-0.037941605,0.081508875,-0.011371613
1,ugur,2018-03-20 20:47:44,83978016038641,-0.07675116,0.016357183,-0.018455505
1,ugur,2018-03-20 20:47:44,83977961891453,-0.08182505,0.09490585,-0.19047451
1,ugur,2018-03-20 20:47:44,83977907862547,-0.04128252,0.047165394,0.046592712
1,ugur,2018-03-20 20:47:44,83977854393641,0.028624684,0.062258363,0.03201008
1,ugur,2018-03-20 20:47:44,83977799320933,-0.054357648,0.046928525,0.12230587
1,ugur,2018-03-20 20:47:44,83977746619735,0.026485682,0.070266366,-0.06209469
1,ugur,2018-03-20 20:47:44,83977693696870,0.05353631,0.13346803,-0.07142925
1,ugur,2018-03-20 20:47:44,83977640878797,-0.020481616,0.020461202,0.09170532
1,ugur,2018-03-20 20:47:44,83977586901506,0.0008726865,0.050193787,-0.12736797
1,ugur,2018-03-20 20:47:44,83977533774058,-0.01811634,0.022171617,-0.057754517
1,ugur,2018-03-20 20:47:44,83977479109579,0.045641705,0.0062538385,-0.051667213
1,ugur,2018-03-20 20:47:44,83977423403589,-0.060892537,-0.063298106,-0.08311272
1,ugur,2018-03-20 20:47:44,83977369322391,0.06456672,0.07513714,0.048801422
1,ugur,2018-03-20 20:47:44,83977316452808,-0.15559396,0.055422425,0.01972866
1,ugur,2018-03-20 20:47:44,83977264228902,-0.026241556,0.053551793,-0.019820213
1,ugur,2018-03-20 20:47:44,83977211252079,-0.11232948,0.06787729,0.22246838
1,ugur,2018-03-20 20:47:44,83977153896402,-0.10210566,0.08632338,-0.26333714
1,ugur,2018-03-20 20:47:44,83977099891506,-0.29049593,-0.1302638,-0.31533146
1,ugur,2018-03-20 20:47:44,83977046441037,-0.2684065,0.06759071,-0.23433399
1,ugur,2018-03-20 20:47:44,83976992957704,-0.039902627,0.08876562,0.11945152
1,ugur,2018-03-20 20:47:44,83976938664006,-0.3644881,-0.22135365,0.49594402
1,ugur,2018-03-20 20:47:44,83976885790464,0.30210903,0.100786686,0.01069355
1,ugur,2018-03-20 20:47:44,83976833904058,-0.05766742,0.056355834,0.020243645
1,ugur,2018-03-20 20:47:44,83976779897183,-0.08377513,0.047290802,-0.12366676
1,ugur,2018-03-20 20:47:44,83976726985308,-0.02188693,0.12676632,0.17510033
1,ugur,2018-03-20 20:47:44,83976675019996,0.1366199,0.17949736,-0.051945686
1,ugur,2018-03-20 20:47:44,83976621948693,0.009372801,0.08328223,0.2387104
1,ugur,2018-03-20 20:47:44,83976569954891,0.21072173,0.13876653,0.08548641
1,ugur,2018-03-20 20:47:44,83976517042756,0.20901537,0.24946165,0.10743618
1,ugur,2018-03-20 20:47:44,83976463587391,0.09755488,0.24450064,-0.04632187
1,ugur,2018-03-20 20:47:44,83976411158485,-0.036533117,3.170967e-05,-0.08169556
1,ugur,2018-03-20 20:47:44,83976357282444,-0.12315555,-0.025126219,-0.20602417
1,ugur,2018-03-20 20:47:44,83976303354735,-0.36089185,-0.17896855,0.20092201
1,ugur,2018-03-20 20:47:44,83976249005777,-0.2774396,-0.08394122,-0.1563158
1,ugur,2018-03-20 20:47:44,83976195484787,-0.2565818,-0.18339682,-0.079782486
1,ugur,2018-03-20 20:47:44,83976141537548,-0.19107151,-0.30887818,-0.50477695
1,ugur,2018-03-20 20:47:44,83976086957704,0.16744068,-0.27837706,-0.27341557
1,ugur,2018-03-20 20:47:44,83976033308173,0.74208367,-0.046655416,-0.15203762
1,ugur,2018-03-20 20:47:44,83975979741506,0.7105179,0.08236706,-0.77556324
1,ugur,2018-03-20 20:47:44,83975926080360,0.76733255,-0.51491845,1.0406885
1,ugur,2018-03-20 20:47:44,83975872509006,-0.08220245,-0.6936029,0.36533356
