1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83697930946091,compass,AK09911 Magnetometer -Wakeup Secondary,-11.869812,-24.835205,-35.28595,1
83697931095883,accel,BMI160 Accelerometer -Wakeup Secondary,-0.3697815,2.2279358,9.433792,3
83697931238227,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.079989776,0.090979986,0.7019923,0.70180565,3
83697981761091,gyro,BMI160 Gyroscope -Wakeup Secondary,0.008224487,-0.024749756,-0.008270264,3
83697982046768,linAccel,Linear Acceleration -Wakeup Secondary,0.028887063,-0.03259754,0.038506508,3
83697982192914,rotVectorAll,Rotation Vector -Wakeup Secondary,0.045827534,-0.1121548,-0.9432488,0.30919707,0.5235988,3
83697982374425,orientation,Orientation -Wakeup Secondary,143.5824,-13.883843,-0.9796719,1
83697982516925,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.04217892,-0.11150077,-0.9403521,0.31863216,0.5235988,3
83697982699164,compass,AK09911 Magnetometer -Wakeup Secondary,-11.11145,-24.819946,-34.573364,1
83697982874425,accel,BMI160 Accelerometer -Wakeup Secondary,-0.13813782,2.311142,9.520584,3
83697983016456,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07937862,0.091530845,0.7017853,0.7020103,3
83698033556873,gyro,BMI160 Gyroscope -Wakeup Secondary,0.0039520264,0.0050811768,-0.011459351,3
83698033934321,linAccel,Linear Acceleration,-0.100007474,0.06539202,-0.03815937,3
83698034122029,orientation,Orientation -Wakeup Secondary,143.56732,-13.870261,-1.0591881,1
83698034316404,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.04377459,-0.111104086,-0.93959665,0.3207769,0.5235988,3
83698034566508,compass,AK09911 Magnetometer -Wakeup Secondary,-11.86676,-24.128723,-36.714172,1
83698034748018,accel,BMI160 Accelerometer -Wakeup Secondary,-0.28059387,2.4069061,9.444565,3
83698035024425,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07884344,0.091902845,0.7014574,0.7023498,3
83698035232446,rotVectorAll,Rotation Vector,0.04645971,-0.111820914,-0.9432417,0.30924538,0.5235988,3
83698086159685,gyro,BMI160 Gyroscope -Wakeup Secondary,0.03804016,-0.038604736,-0.013595581,3
83698086513904,orientation,Orientation,143.51868,-13.936306,-1.0393335,1
83698086764633,linAccel,Linear Acceleration,-0.0029651374,-0.0737319,-0.017878532,3
83698086982758,rotVectorAll,Rotation Vector -Wakeup Secondary,0.046522327,-0.11239876,-0.9430407,0.30963913,0.5235988,3
83698087704633,rotVectorGyro,Game Rotation Vector,0.07943211,0.09213223,0.7009471,0.70276266,3
83698087964216,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.045161974,-0.11107979,-0.9388364,0.32281256,0.5235988,3
83698088317133,compass,AK09911 Magnetometer -Wakeup Secondary,-11.100769,-25.549316,-34.565735,1
83698088532237,accel,BMI160 Accelerometer -Wakeup Secondary,-0.16687012,2.2919922,9.443375,3
83698140311248,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.005630493,-0.016220093,-0.035964966,3
83698140790779,linAccel,Linear Acceleration,-0.008408651,-0.09908366,0.08473492,3
83698141529737,orientation,Orientation -Wakeup Secondary,143.61249,-13.927542,-1.0012277,1
83698141803018,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.045810316,-0.11085242,-0.93854624,0.323642,0.5235988,3
83698142159112,compass,AK09911 Magnetometer -Wakeup Secondary,-8.802795,-24.130249,-37.41913,1
83698142921248,accel,BMI160 Accelerometer -Wakeup Secondary,-0.17884827,2.248291,9.550522,3
83698143236300,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.079683185,0.09178367,0.7004394,0.7032859,3
83698143549581,rotVectorAll,Rotation Vector,0.04609323,-0.11246806,-0.9432927,0.30890983,0.5235988,3
83698166463904,ble,24:0A:C4:00:98:A0,BEACON_2,-83
83698194668487,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.012023926,0.051956177,0.0077209473,3
83698195050050,linAccel,Linear Acceleration -Wakeup Secondary,-0.051268443,-0.110204935,-0.028043747,3
83698195242498,accel,BMI160 Accelerometer,-0.2387085,2.2207642,9.438583,3
83698195389633,rotVectorAll,Rotation Vector -Wakeup Secondary,0.046749294,-0.11137939,-0.9431684,0.30958432,0.5235988,3
83698195701820,orientation,Orientation -Wakeup Secondary,143.5227,-13.832773,-1.1014239,1
83698195854789,rotVectorGyro,Game Rotation Vector,0.07851585,0.09179394,0.70021904,0.70363516,3
