label,user,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
1,ugur,2018-03-23 10:46:59,657501246935,242.25516,-4.944023,1.2303084
1,ugur,2018-03-23 10:46:59,657447907768,242.44594,-4.8194866,1.3135687
1,ugur,2018-03-23 10:46:59,657395271883,242.2605,-4.6582704,1.3498809
1,ugur,2018-03-23 10:46:59,657342794175,242.06036,-4.507435,1.3263888
1,ugur,2018-03-23 10:46:59,657288775164,241.84583,-4.2888684,1.2163196
1,ugur,2018-03-23 10:46:59,657235424070,241.79703,-4.1409264,1.2298048
1,ugur,2018-03-23 10:46:59,657181468966,241.72641,-3.9319448,1.2945347
1,ugur,2018-03-23 10:46:59,657127754175,241.4485,-3.645767,1.1837416
1,ugur,2018-03-23 10:46:59,657074611414,241.0613,-3.514273,0.9491622
1,ugur,2018-03-23 10:46:59,657021145477,240.4263,-3.3452492,0.7961081
1,ugur,2018-03-23 10:46:59,656967281310,239.90247,-2.8796878,0.33890346
1,ugur,2018-03-23 10:46:59,656913267873,238.97221,-2.7561429,0.016951464
1,ugur,2018-03-23 10:46:59,656860972404,238.04858,-3.0379515,-0.1454579
1,ugur,2018-03-23 10:46:59,656806794383,237.53409,-3.0652251,-0.6857222
1,ugur,2018-03-23 10:46:59,656753360946,237.49654,-3.0673397,-0.9139235
1,ugur,2018-03-23 10:46:59,656699958550,238.09177,-2.9763973,-1.2718898
1,ugur,2018-03-23 10:46:59,656646408133,238.91367,-2.8687654,-1.5823696
1,ugur,2018-03-23 10:46:59,656592683029,239.63191,-3.4466538,-0.7514804
1,ugur,2018-03-23 10:46:59,656540651831,240.05928,-4.3406663,-0.44834164
1,ugur,2018-03-23 10:46:59,656486884592,240.41092,-4.764309,-0.14865668
1,ugur,2018-03-23 10:46:59,656432787300,241.1549,-5.3750315,0.8487256
1,ugur,2018-03-23 10:46:59,656379412352,241.73557,-5.9130683,1.1756986
1,ugur,2018-03-23 10:46:59,656326918810,242.56985,-6.0040393,1.3643937
1,ugur,2018-03-23 10:46:59,656273107248,243.65033,-5.8368535,1.9285451
1,ugur,2018-03-23 10:46:59,656219795321,245.4672,-4.9445286,3.0237403
1,ugur,2018-03-23 10:46:59,656166708654,247.37749,-5.7948866,4.171996
1,ugur,2018-03-23 10:46:59,656114504852,249.59216,-6.1994395,5.267085
1,ugur,2018-03-23 10:46:59,656062294227,251.5161,-4.8839335,7.0191236
1,ugur,2018-03-23 10:46:59,656009580790,253.29752,-5.8391204,7.4107304
1,ugur,2018-03-23 10:46:59,655956757717,254.8966,-6.133682,6.9814396
1,ugur,2018-03-23 10:46:59,655903241519,255.99216,-6.8238955,7.237118
1,ugur,2018-03-23 10:46:59,655851140008,256.57037,-7.6883855,7.715504
1,ugur,2018-03-23 10:46:59,655798581883,256.80557,-8.156536,8.172099
1,ugur,2018-03-23 10:46:59,655745903915,256.9805,-9.004149,9.014994
1,ugur,2018-03-23 10:46:59,655693988186,256.99097,-8.305217,8.294702
1,ugur,2018-03-23 10:46:59,655640239279,257.2063,-7.375157,6.6668816
1,ugur,2018-03-23 10:46:59,655587734696,257.75577,-7.469197,6.7812405
1,ugur,2018-03-23 10:46:59,655535976519,257.7057,-9.099334,8.288137
1,ugur,2018-03-23 10:46:59,655482603498,256.56653,-11.584741,7.6272235
1,ugur,2018-03-23 10:46:59,655429602561,255.57997,-12.649483,8.171801
1,ugur,2018-03-23 10:46:59,655377113967,254.107,-13.596421,8.305803
1,ugur,2018-03-23 10:46:59,655324046415,253.18762,-14.143677,8.672337
1,ugur,2018-03-23 10:46:59,655271589540,252.13211,-14.81703,8.204588
