label,user,collection_datetime,device_timestamp,mag_x,mag_y,mag_z
1,ugur,2018-03-23 10:46:58,657500255789,15.330505,-13.116455,-38.6261
1,ugur,2018-03-23 10:46:58,657447058237,13.005066,-11.642456,-37.223816
1,ugur,2018-03-23 10:46:58,657394946050,13.769531,-11.639404,-37.22229
1,ugur,2018-03-23 10:46:58,657341703758,14.569092,-12.414551,-40.055847
1,ugur,2018-03-23 10:46:58,657287647143,13.769531,-11.639404,-37.22229
1,ugur,2018-03-23 10:46:58,657234541570,14.527893,-11.6241455,-36.51123
1,ugur,2018-03-23 10:46:58,657180913445,12.237549,-10.926819,-37.94403
1,ugur,2018-03-23 10:46:58,657127454227,16.053772,-10.902405,-37.226868
1,ugur,2018-03-23 10:46:58,657073254591,13.018799,-13.088989,-36.497498
1,ugur,2018-03-23 10:46:58,657019644279,13.775635,-11.651611,-37.93335
1,ugur,2018-03-23 10:46:58,656966578654,13.7664795,-10.922241,-37.94098
1,ugur,2018-03-23 10:46:58,656912717196,14.52179,-10.189819,-37.94861
1,ugur,2018-03-23 10:46:58,656859798966,14.552307,-11.672974,-39.352417
1,ugur,2018-03-23 10:46:58,656805710529,14.533997,-11.636353,-37.22229
1,ugur,2018-03-23 10:46:58,656752998550,14.559937,-13.1073,-37.916565
1,ugur,2018-03-23 10:46:58,656698730946,16.047668,-10.890198,-36.517334
1,ugur,2018-03-23 10:46:58,656645745008,15.30304,-12.35199,-36.502075
1,ugur,2018-03-23 10:46:58,656592152196,16.061401,-12.336731,-35.791016
1,ugur,2018-03-23 10:46:58,656539181883,15.318298,-13.092041,-37.205505
1,ugur,2018-03-23 10:46:58,656486275946,14.556885,-13.812256,-36.488342
1,ugur,2018-03-23 10:46:58,656432433758,15.309143,-12.364197,-37.213135
1,ugur,2018-03-23 10:46:58,656378896102,13.801575,-14.544678,-36.480713
1,ugur,2018-03-23 10:46:58,656326274279,13.024902,-13.101196,-37.208557
1,ugur,2018-03-23 10:46:58,656272752508,14.553833,-13.095093,-37.205505
1,ugur,2018-03-23 10:46:58,656218899800,13.005066,-11.642456,-37.223816
