label,user,collection_datetime,device_timestamp,rotvecgyro_x,rotvecgyro_y,rotvecgyro_z
1,ugur,2018-03-23 10:46:59,657554212352,0.043847352,-0.012282724,-0.034209985
1,ugur,2018-03-23 10:46:59,657499372768,0.042724233,-0.012238948,-0.03473023
1,ugur,2018-03-23 10:46:59,657446880789,0.041609798,-0.012937723,-0.034978867
1,ugur,2018-03-23 10:46:59,657394782247,0.040204775,-0.013171115,-0.034145046
1,ugur,2018-03-23 10:46:59,657341373758,0.038913857,-0.012872375,-0.03291078
1,ugur,2018-03-23 10:46:59,657287332873,0.037054904,-0.011808434,-0.03184237
1,ugur,2018-03-23 10:46:59,657233716258,0.03578443,-0.011815991,-0.029930709
1,ugur,2018-03-23 10:46:59,657180197195,0.033975046,-0.012243771,-0.027524866
1,ugur,2018-03-23 10:46:59,657126684904,0.031557843,-0.011066476,-0.023068132
1,ugur,2018-03-23 10:46:59,657072869800,0.030504782,-0.008840585,-0.018097233
1,ugur,2018-03-23 10:46:59,657019304852,0.029096525,-0.0073179887,-0.012612596
1,ugur,2018-03-23 10:46:59,656965800946,0.0245991,-0.0025846774,-0.0066899075
1,ugur,2018-03-23 10:46:59,656912519279,0.02404973,-0.00011830426,0.0012333014
1,ugur,2018-03-23 10:46:59,656859143706,0.026495436,0.0015086622,0.00900949
1,ugur,2018-03-23 10:46:59,656805354019,0.026657943,0.0063605774,0.014016493
1,ugur,2018-03-23 10:46:59,656752639435,0.026640132,0.008375677,0.014877359
1,ugur,2018-03-23 10:46:59,656698396050,0.025621673,0.011776496,0.010127114
1,ugur,2018-03-23 10:46:59,656644976050,0.02496897,0.013913558,0.0040344363
1,ugur,2018-03-23 10:46:59,656591985269,0.030072771,0.0065538753,-0.00023093245
1,ugur,2018-03-23 10:46:59,656538847456,0.037878502,0.0038276096,-0.0023141026
1,ugur,2018-03-23 10:46:59,656485573342,0.041569535,0.0011205538,-0.0042747334
1,ugur,2018-03-23 10:46:59,656431513654,0.04681351,-0.0078529995,-0.009346557
1,ugur,2018-03-23 10:46:59,656378732248,0.051423647,-0.010983514,-0.013769732
1,ugur,2018-03-23 10:46:59,656325902508,0.0521168,-0.0129444655,-0.019530341
1,ugur,2018-03-23 10:46:59,656272394644,0.050387543,-0.018305445,-0.028678233
1,ugur,2018-03-23 10:46:59,656218486727,0.041891556,-0.02827224,-0.04378202
1,ugur,2018-03-23 10:46:59,656165775946,0.048219256,-0.0393471,-0.058640644
1,ugur,2018-03-23 10:46:59,656113806988,0.050223507,-0.05000445,-0.07632278
1,ugur,2018-03-23 10:46:59,656061561727,0.03664841,-0.06485347,-0.090251416
1,ugur,2018-03-23 10:46:59,656008303185,0.043672614,-0.06958293,-0.1027528
