label,user,collection_datetime,device_timestamp,rotvecall_x,rotvecall_y,rotvecall_z
1,ugur,2018-03-23 10:46:59,657499754800,0.031477153,0.03137421,0.8554119
1,ugur,2018-03-23 10:46:59,657447215320,0.031587537,0.030016456,0.854594
1,ugur,2018-03-23 10:46:59,657395089852,0.031083753,0.028700216,0.8554753
1,ugur,2018-03-23 10:46:59,657342029904,0.030180702,0.027732862,0.85641026
1,ugur,2018-03-23 10:46:59,657288021831,0.02832691,0.026647532,0.8574145
1,ugur,2018-03-23 10:46:59,657234067300,0.02775439,0.025491904,0.85766774
1,ugur,2018-03-23 10:46:59,657180508862,0.027288817,0.023654478,0.8580333
1,ugur,2018-03-23 10:46:59,657127066466,0.025126524,0.022068575,0.8593231
1,ugur,2018-03-23 10:46:59,657073567039,0.02270744,0.022205176,0.86105204
1,ugur,2018-03-23 10:46:59,657019984852,0.020688927,0.02172853,0.86387235
1,ugur,2018-03-23 10:46:59,656966216518,0.0143718645,0.020130716,0.86655045
1,ugur,2018-03-23 10:46:59,656912863706,0.011966229,0.020861756,0.870225
1,ugur,2018-03-23 10:46:59,656860211623,0.011751604,0.023794621,0.87408984
1,ugur,2018-03-23 10:46:59,656806084175,0.0076276246,0.026323415,0.8761774
1,ugur,2018-03-23 10:46:59,656752815737,0.0058823926,0.027299194,0.8762967
1,ugur,2018-03-23 10:46:59,656699022508,0.0024489553,0.028091967,0.8735376
1,ugur,2018-03-23 10:46:59,656645379487,0.00028928052,0.028582389,0.8702006
1,ugur,2018-03-23 10:46:59,656592297664,0.00926534,0.02935095,0.8671179
1,ugur,2018-03-23 10:46:59,656539475269,0.0155671295,0.034743283,0.8650648
1,ugur,2018-03-23 10:46:59,656485913862,0.019790988,0.036573194,0.8634522
1,ugur,2018-03-23 10:46:59,656432045998,0.030221324,0.036603905,0.86014843
1,ugur,2018-03-23 10:46:59,656379041467,0.03525608,0.0390133,0.85743743
1,ugur,2018-03-23 10:46:59,656326545217,0.037355218,0.038578592,0.85368603
1,ugur,2018-03-23 10:46:59,656272560217,0.041125044,0.034390762,0.8488909
1,ugur,2018-03-23 10:46:59,656219192404,0.045490284,0.022019448,0.84073377
1,ugur,2018-03-23 10:46:59,656166316258,0.058267597,0.02186727,0.8314693
1,ugur,2018-03-23 10:46:59,656114131206,0.068501696,0.018175878,0.8205386
1,ugur,2018-03-23 10:46:59,656061950113,0.07448201,-0.0012286385,0.81075865
1,ugur,2018-03-23 10:46:59,656008886206,0.082121864,0.0022537794,0.80155826
1,ugur,2018-03-23 10:46:59,655956072040,0.080739625,0.0054267435,0.7932752
1,ugur,2018-03-23 10:46:59,655902698550,0.0862134,0.00802263,0.7874
1,ugur,2018-03-23 10:46:59,655850572196,0.09450078,0.010824558,0.78419065
1,ugur,2018-03-23 10:46:59,655798056154,0.0997641,0.011441504,0.78283983
1,ugur,2018-03-23 10:46:59,655745697769,0.11002619,0.012487513,0.781725
1,ugur,2018-03-23 10:46:59,655693197665,0.10141034,0.011627661,0.78181833
1,ugur,2018-03-23 10:46:59,655639738863,0.08540704,0.013973077,0.78088206
1,ugur,2018-03-23 10:46:59,655587394227,0.086755335,0.013574824,0.7778905
1,ugur,2018-03-23 10:46:59,655534864800,0.10719862,0.017764919,0.7783396
1,ugur,2018-03-23 10:46:59,655481674592,0.11433056,0.038049024,0.783379
1,ugur,2018-03-23 10:46:59,655429225998,0.12329823,0.043441527,0.7882657
1,ugur,2018-03-23 10:46:59,655376577404,0.12852839,0.050892595,0.79554677
1,ugur,2018-03-23 10:46:59,655323576884,0.13342534,0.053832807,0.80004245
1,ugur,2018-03-23 10:46:59,655271387300,0.1330602,0.062198825,0.8049675
1,ugur,2018-03-23 10:46:59,655217972352,0.1284829,0.06740762,0.8089903
1,ugur,2018-03-23 10:46:59,655165088759,0.11908462,0.06708808,0.8097503
1,ugur,2018-03-23 10:46:59,655112150998,0.110705286,0.059132893,0.807827
1,ugur,2018-03-23 10:46:59,655060169957,0.097959794,0.051000025,0.80427057
1,ugur,2018-03-23 10:46:59,655007695634,0.08431099,0.04329786,0.7999356
1,ugur,2018-03-23 10:46:59,654954419644,0.07129908,0.03364839,0.79603815
1,ugur,2018-03-23 10:46:59,654901432665,0.061855733,0.018164838,0.79287523
1,ugur,2018-03-23 10:46:59,654848377457,0.0713873,0.0077150012,0.79195446
1,ugur,2018-03-23 10:46:59,654795744384,0.07972569,0.015373516,0.7930999
1,ugur,2018-03-23 10:46:59,654743795790,0.08156568,0.024651844,0.7918016
1,ugur,2018-03-23 10:46:59,654690953498,0.08608555,0.025430009,0.7868346
1,ugur,2018-03-23 10:46:59,654637716363,0.092007525,0.025698103,0.78238815
1,ugur,2018-03-23 10:46:59,654584014124,0.1033981,0.031339843,0.7793893
1,ugur,2018-03-23 10:46:59,654531980790,0.112305626,0.03500115,0.7803763
1,ugur,2018-03-23 10:46:59,654477362926,0.11599863,0.033236373,0.78337526
1,ugur,2018-03-23 10:46:59,654424435269,0.12072958,0.026679097,0.78846264
1,ugur,2018-03-23 10:46:59,654372285947,0.12572986,0.016509345,0.7929499
1,ugur,2018-03-23 10:46:59,654318050686,0.116993025,0.008227687,0.79715395
1,ugur,2018-03-23 10:46:59,654264634905,0.10206289,-0.004266657,0.79408073
1,ugur,2018-03-23 10:46:59,654211859072,0.10056406,-0.0031794235,0.79173124
1,ugur,2018-03-23 10:46:59,654160159905,0.10780121,0.01322392,0.794121
1,ugur,2018-03-23 10:46:59,654106805009,0.106095366,0.019681558,0.79545057
1,ugur,2018-03-23 10:46:59,654054197197,0.103604995,0.027934054,0.79826486
1,ugur,2018-03-23 10:46:59,653999158238,0.10533539,0.032975633,0.80174994
1,ugur,2018-03-23 10:46:59,653946094540,0.102698,0.03747411,0.8037107
1,ugur,2018-03-23 10:46:59,653892765686,0.09827228,0.040645383,0.802651
1,ugur,2018-03-23 10:46:59,653838684488,0.09044227,0.03450799,0.7983604
1,ugur,2018-03-23 10:46:59,653785601624,0.08584635,0.026419489,0.7918684
1,ugur,2018-03-23 10:46:59,653733097718,0.08165167,0.024308816,0.78435564
1,ugur,2018-03-23 10:46:59,653678795218,0.072388425,0.02332547,0.77577573
1,ugur,2018-03-23 10:46:59,653625490218,0.063627325,0.02056655,0.76776767
1,ugur,2018-03-23 10:46:59,653572879593,0.06761422,0.012907727,0.76152885
1,ugur,2018-03-23 10:46:59,653519413499,0.07822107,0.019982092,0.7578376
1,ugur,2018-03-23 10:46:59,653465216676,0.07990464,0.017275676,0.7514743
1,ugur,2018-03-23 10:46:59,653412273239,0.083044834,0.015090886,0.74608994
1,ugur,2018-03-23 10:46:59,653359725634,0.08662191,0.014791701,0.74201393
1,ugur,2018-03-23 10:46:59,653307377926,0.08923279,0.017239932,0.7395896
1,ugur,2018-03-23 10:46:59,653253462145,0.095323816,0.016872456,0.7404004
1,ugur,2018-03-23 10:46:59,653199962978,0.09731931,0.010616834,0.7434985
1,ugur,2018-03-23 10:46:59,653145733187,0.09994376,0.0039503914,0.7494659
1,ugur,2018-03-23 10:46:59,653092255739,0.09915817,-0.0027498119,0.7572722
1,ugur,2018-03-23 10:46:59,653038383968,0.09518071,-0.013199153,0.7632213
1,ugur,2018-03-23 10:46:59,652983326937,0.07399887,-0.019963028,0.7628192
1,ugur,2018-03-23 10:46:59,652931020010,0.06609108,-0.024324093,0.75945
1,ugur,2018-03-23 10:46:59,652877731989,0.0757968,-0.0023181592,0.7644067
1,ugur,2018-03-23 10:46:59,652824292770,0.07223828,0.012241713,0.7713086
1,ugur,2018-03-23 10:46:59,652770725478,0.06773877,0.017472863,0.7772245
1,ugur,2018-03-23 10:46:59,652715945530,0.063161135,0.024626879,0.7853696
1,ugur,2018-03-23 10:46:59,652662045687,0.059275545,0.030798357,0.7954479
1,ugur,2018-03-23 10:46:59,652609039906,0.056745607,0.036377773,0.8043098
1,ugur,2018-03-23 10:46:59,652556914385,0.05216355,0.041098993,0.811893
1,ugur,2018-03-23 10:46:59,652501676416,0.047045887,0.041762743,0.8210024
1,ugur,2018-03-23 10:46:59,652447275010,0.04532691,0.03786119,0.8275939
1,ugur,2018-03-23 10:46:59,652392033551,0.039217703,0.038090628,0.8350338
1,ugur,2018-03-23 10:46:59,652335024333,0.026690578,0.03784038,0.841571
1,ugur,2018-03-23 10:46:59,652282022354,0.020056322,0.026346352,0.8446512
1,ugur,2018-03-23 10:46:59,652228684593,0.024510777,0.03117154,0.85015786
1,ugur,2018-03-23 10:46:59,652175308916,0.025990987,0.052482616,0.85697097
1,ugur,2018-03-23 10:46:59,652121390687,0.024699029,0.05241294,0.86101687
1,ugur,2018-03-23 10:46:59,652068472927,0.030624343,0.050827146,0.86671454
1,ugur,2018-03-23 10:46:59,652015034541,0.036270306,0.050097235,0.87325966
1,ugur,2018-03-23 10:46:59,651960443395,0.040485095,0.050909054,0.88017684
1,ugur,2018-03-23 10:46:59,651905407875,0.04455117,0.054295614,0.88958913
1,ugur,2018-03-23 10:46:59,651851196416,0.046548396,0.05749424,0.90106636
1,ugur,2018-03-23 10:46:59,651797131625,0.046915643,0.0556501,0.91199315
1,ugur,2018-03-23 10:46:59,651742385739,0.0470876,0.052822344,0.9239818
1,ugur,2018-03-23 10:46:59,651689784229,0.050563432,0.047280643,0.93289286
1,ugur,2018-03-23 10:46:59,651637549854,0.042059716,0.041367177,0.94124484
1,ugur,2018-03-23 10:46:59,651584063864,0.039820172,0.04150586,0.9465494
1,ugur,2018-03-23 10:46:59,651531811052,0.04971165,0.06164304,0.95214266
1,ugur,2018-03-23 10:46:59,651478474073,0.04672617,0.079031214,0.9577253
1,ugur,2018-03-23 10:46:59,651425171364,0.046243332,0.0806577,0.9623411
1,ugur,2018-03-23 10:46:59,651371632875,0.04580364,0.08430773,0.9660218
1,ugur,2018-03-23 10:46:59,651316824385,0.046455014,0.08624349,0.9696229
1,ugur,2018-03-23 10:46:59,651263435583,0.04605676,0.08673972,0.9720355
1,ugur,2018-03-23 10:46:59,651209360114,0.04694531,0.0857799,0.9739937
1,ugur,2018-03-23 10:46:59,651156990375,0.047080077,0.078709185,0.97555757
1,ugur,2018-03-23 10:46:59,651103673187,0.05277026,0.07327321,0.976166
1,ugur,2018-03-23 10:46:59,651051009021,0.047469795,0.07619773,0.97664994
1,ugur,2018-03-23 10:46:59,650997435323,0.04409781,0.07418883,0.97660846
1,ugur,2018-03-23 10:46:59,650944227667,0.049430765,0.06558344,0.9760457
