user,label,collection_datetime,device_timestamp,gyro_x,gyro_y,gyro_z
ugur,1,2018-03-29 22:04:55,1715578805802,0.034851074,-0.21969604,-0.078567505
ugur,1,2018-03-29 22:04:55,1715524001583,-0.24850464,0.08604431,-0.030639648
ugur,1,2018-03-29 22:04:55,1715469457729,-0.03439331,0.20321655,-0.049804688
ugur,1,2018-03-29 22:04:55,1715416727937,0.054031372,0.14356995,0.05885315
ugur,1,2018-03-29 22:04:55,1715363205594,0.025268555,0.12971497,0.03327942
ugur,1,2018-03-29 22:04:55,1715309498302,0.034851074,0.14889526,0.040740967
ugur,1,2018-03-29 22:04:55,1715255949396,0.041244507,-0.009841919,-0.0146484375
ugur,1,2018-03-29 22:04:55,1715202205177,0.06254578,0.006149292,0.06843567
ugur,1,2018-03-29 22:04:55,1715149592573,-0.02267456,0.11160278,0.03541565
ugur,1,2018-03-29 22:04:55,1715095213771,-0.024810791,0.047683716,0.052459717
ugur,1,2018-03-29 22:04:55,1715039823667,-0.025863647,0.16912842,0.015167236
ugur,1,2018-03-29 22:04:55,1714987668198,0.0039520264,0.049819946,0.011978149
ugur,1,2018-03-29 22:04:55,1714934368302,0.15629578,0.117996216,0.13980103
ugur,1,2018-03-29 22:04:55,1714878422417,0.079589844,0.04663086,0.07269287
ugur,1,2018-03-29 22:04:55,1714822695229,0.11155701,-0.102508545,0.0513916
ugur,1,2018-03-29 22:04:55,1714767925386,0.22447205,-0.20265198,0.08866882
ugur,1,2018-03-29 22:04:55,1714714790750,0.056152344,-0.07374573,-0.005065918
ugur,1,2018-03-29 22:04:55,1714658826740,0.03378296,0.051956177,0.14833069
ugur,1,2018-03-29 22:04:55,1714605028875,-0.015213013,0.07218933,0.06843567
ugur,1,2018-03-29 22:04:55,1714552481688,0.06147766,0.26287842,0.07801819
ugur,1,2018-03-29 22:04:55,1714499572886,-0.11747742,0.32678223,0.005584717
ugur,1,2018-03-29 22:04:55,1714444825177,-0.004562378,0.56114197,0.106781006
ugur,1,2018-03-29 22:04:55,1714393242938,-0.007751465,0.22026062,0.1728363
ugur,1,2018-03-29 22:04:55,1714337393979,-0.054626465,0.21279907,0.13768005
ugur,1,2018-03-29 22:04:55,1714280214084,0.0018310547,0.07644653,0.10891724
ugur,1,2018-03-29 22:04:55,1714227447417,-0.0887146,0.14782715,0.09719849
ugur,1,2018-03-29 22:04:55,1714170341740,-0.052505493,0.08390808,-0.038085938
ugur,1,2018-03-29 22:04:55,1714116328146,-0.3539734,0.013595581,0.0790863
ugur,1,2018-03-29 22:04:55,1714064178563,-0.078063965,0.24583435,-0.13076782
ugur,1,2018-03-29 22:04:55,1714011078042,0.0018310547,0.23516846,-0.1254425
ugur,1,2018-03-29 22:04:55,1713957665594,-0.08659363,0.31401062,0.029022217
ugur,1,2018-03-29 22:04:55,1713904112990,-0.078063965,0.18617249,0.07695007
ugur,1,2018-03-29 22:04:55,1713851483771,-0.14198303,0.033843994,0.19093323
ugur,1,2018-03-29 22:04:55,1713798404292,-0.06741333,0.017868042,0.06524658
ugur,1,2018-03-29 22:04:55,1713745532678,0.20529175,-0.118499756,0.13128662
ugur,1,2018-03-29 22:04:55,1713692426063,0.28199768,-0.07801819,0.032211304
ugur,1,2018-03-29 22:04:55,1713639815490,0.116882324,0.13290405,0.052459717
ugur,1,2018-03-29 22:04:55,1713586602938,0.041244507,-0.031143188,0.05885315
ugur,1,2018-03-29 22:04:55,1713532407157,0.027389526,0.09562683,-0.2554016
ugur,1,2018-03-29 22:04:55,1713478109761,0.0039520264,0.06047058,0.095062256
ugur,1,2018-03-29 22:04:55,1713426161376,-0.18032837,0.10948181,0.081222534
ugur,1,2018-03-29 22:04:55,1713372062365,-0.3262787,0.42053223,-0.059402466
ugur,1,2018-03-29 22:04:55,1713319300699,0.025268555,0.14356995,0.03327942
ugur,1,2018-03-29 22:04:55,1713266635594,-0.3390503,0.092422485,-0.05619812
ugur,1,2018-03-29 22:04:55,1713212030230,-0.7917938,0.7028198,0.034347534
ugur,1,2018-03-29 22:04:55,1713158911845,0.067871094,0.37791443,0.11743164
ugur,1,2018-03-29 22:04:55,1713104445022,0.6537628,-0.6585846,-0.76353455
ugur,1,2018-03-29 22:04:55,1713052298095,0.21914673,-0.6958618,-0.85728455
ugur,1,2018-03-29 22:04:55,1712999271272,-0.07167053,0.93292236,-0.9243927
ugur,1,2018-03-29 22:04:55,1712945686793,-0.3081665,-0.45724487,-0.33317566
ugur,1,2018-03-29 22:04:55,1712892935282,-0.19844055,0.09776306,-0.18403625
ugur,1,2018-03-29 22:04:55,1712840710595,0.042312622,-0.16642761,-0.21492004
ugur,1,2018-03-29 22:04:55,1712788336532,-0.021606445,0.4940338,0.032211304
ugur,1,2018-03-29 22:04:55,1712735989032,0.17866516,0.31401062,0.0023956299
ugur,1,2018-03-29 22:04:55,1712684039813,-0.07913208,-0.20265198,0.09933472
ugur,1,2018-03-29 22:04:55,1712629403459,0.5610962,-0.5595093,0.58721924
ugur,1,2018-03-29 22:04:55,1712574884553,0.41409302,0.25221252,0.678833
ugur,1,2018-03-29 22:04:55,1712521839136,0.022064209,0.6090851,0.31663513
ugur,1,2018-03-29 22:04:55,1712469780959,-0.37953186,-0.062026978,0.0077209473
ugur,1,2018-03-29 22:04:55,1712416923824,0.05722046,0.15740967,0.22929382
ugur,1,2018-03-29 22:04:55,1712363109866,0.12327576,0.104141235,0.4284973
ugur,1,2018-03-29 22:04:55,1712309163824,0.18399048,0.14889526,0.53715515
ugur,1,2018-03-29 22:04:55,1712256489345,-0.0066986084,0.3821869,0.40292358
ugur,1,2018-03-29 22:04:55,1712202896741,-0.1824646,0.20854187,0.16537476
ugur,1,2018-03-29 22:04:55,1712149369241,-0.015213013,0.016799927,0.031158447
ugur,1,2018-03-29 22:04:55,1712093792626,-0.027999878,0.07432556,-0.053009033
ugur,1,2018-03-29 22:04:55,1712040562210,0.13711548,-0.1376648,-0.1296997
ugur,1,2018-03-29 22:04:55,1711987858355,0.06893921,0.4375763,-0.21279907
ugur,1,2018-03-29 22:04:55,1711934913095,0.060424805,-0.46150208,-0.4769745
ugur,1,2018-03-29 22:04:55,1711879596168,0.24363708,0.39923096,-0.010391235
ugur,1,2018-03-29 22:04:55,1711825479085,-0.52334595,-0.118499756,-0.31080627
ugur,1,2018-03-29 22:04:55,1711773398251,-0.3869934,-0.33580017,-0.33529663
ugur,1,2018-03-29 22:04:55,1711721059397,0.13392639,0.14994812,-0.012527466
ugur,1,2018-03-29 22:04:55,1711667669449,-0.013092041,-0.40078735,-0.033828735
ugur,1,2018-03-29 22:04:55,1711614254085,-0.17607117,-0.15258789,-0.08177185
ugur,1,2018-03-29 22:04:55,1711561287783,-0.20057678,-0.20158386,-0.08177185
ugur,1,2018-03-29 22:04:55,1711507080074,0.056152344,-0.28466797,0.05671692
ugur,1,2018-03-29 22:04:55,1711452103304,0.19250488,0.30441284,0.33901978
ugur,1,2018-03-29 22:04:55,1711398974085,0.23831177,-0.0077056885,0.41357422
ugur,1,2018-03-29 22:04:55,1711346074866,0.13925171,-0.21755981,0.40185547
ugur,1,2018-03-29 22:04:55,1711293823147,0.20422363,-0.40397644,0.37097168
ugur,1,2018-03-29 22:04:55,1711242798981,0.5174103,0.41307068,0.36032104
ugur,1,2018-03-29 22:04:55,1711188325491,-0.14411926,0.45355225,-0.029571533
ugur,1,2018-03-29 22:04:55,1711135995856,-0.048233032,-0.15896606,0.011978149
