user,label,collection_datetime,device_timestamp,rotvecmag_x,rotvecmag_y,rotvecmag_z
ugur,1,2018-03-29 22:04:56,1715580659083,0.046068907,0.09157863,0.20208289
ugur,1,2018-03-29 22:04:56,1715524866635,0.046935063,0.088662155,0.20438011
ugur,1,2018-03-29 22:04:56,1715469931375,0.046721675,0.084611215,0.20541398
ugur,1,2018-03-29 22:04:56,1715415782000,0.046145882,0.08347651,0.20503797
ugur,1,2018-03-29 22:04:56,1715364181896,0.04609044,0.08084806,0.20270568
ugur,1,2018-03-29 22:04:56,1715308235958,0.046187956,0.07870873,0.20204444
ugur,1,2018-03-29 22:04:56,1715255001583,0.046523128,0.07791257,0.20009589
ugur,1,2018-03-29 22:04:56,1715203032885,0.044601846,0.07706698,0.19788024
ugur,1,2018-03-29 22:04:56,1715149931896,0.044459343,0.07540221,0.19282125
ugur,1,2018-03-29 22:04:56,1715096440333,0.043281548,0.07347445,0.18705419
ugur,1,2018-03-29 22:04:56,1715042675438,0.0418703,0.07075674,0.18574257
ugur,1,2018-03-29 22:04:56,1714987956740,0.04111646,0.06969719,0.18407051
ugur,1,2018-03-29 22:04:56,1714935539761,0.037447453,0.0680813,0.18471423
ugur,1,2018-03-29 22:04:56,1714877573094,0.038552225,0.06475035,0.18266948
ugur,1,2018-03-29 22:04:56,1714821486271,0.037058964,0.06416604,0.18136442
ugur,1,2018-03-29 22:04:56,1714769165542,0.03900074,0.061229806,0.18153419
ugur,1,2018-03-29 22:04:56,1714715351167,0.03984538,0.057085667,0.17505457
ugur,1,2018-03-29 22:04:56,1714660328302,0.039709307,0.05296227,0.17146704
ugur,1,2018-03-29 22:04:56,1714604307781,0.040346734,0.04875483,0.17309105
ugur,1,2018-03-29 22:04:56,1714551708667,0.041384432,0.04103037,0.17249541
ugur,1,2018-03-29 22:04:56,1714497877000,0.044031188,0.035724167,0.16336265
ugur,1,2018-03-29 22:04:56,1714445258250,0.04400528,0.03155995,0.16162907
ugur,1,2018-03-29 22:04:56,1714394017313,0.047659114,0.028680734,0.15770203
ugur,1,2018-03-29 22:04:56,1714339015386,0.0495333,0.024884919,0.15558316
ugur,1,2018-03-29 22:04:56,1714281442938,0.051645868,0.021300482,0.14817606
ugur,1,2018-03-29 22:04:56,1714228556427,0.05305504,0.018656021,0.15355
ugur,1,2018-03-29 22:04:56,1714173371427,0.05677166,0.014756694,0.15654646
ugur,1,2018-03-29 22:04:56,1714117038355,0.05624938,0.009961424,0.15746586
ugur,1,2018-03-29 22:04:56,1714064495282,0.055273797,0.00615544,0.1576791
ugur,1,2018-03-29 22:04:56,1714011610125,0.054237425,0.0024589768,0.15402295
ugur,1,2018-03-29 22:04:56,1713958304553,0.055202357,0.00051817036,0.15166254
ugur,1,2018-03-29 22:04:56,1713904923719,0.054234844,-0.0002619057,0.15142328
ugur,1,2018-03-29 22:04:56,1713850268459,0.053958885,-0.000110435554,0.14492302
ugur,1,2018-03-29 22:04:56,1713797779917,0.053437132,-0.00113792,0.14525804
ugur,1,2018-03-29 22:04:56,1713744220646,0.051021837,-0.0031302867,0.15218073
ugur,1,2018-03-29 22:04:56,1713691581063,0.051590223,-0.007211719,0.16098095
ugur,1,2018-03-29 22:04:56,1713639347313,0.051201127,-0.009656102,0.16415314
ugur,1,2018-03-29 22:04:56,1713587184188,0.053047642,-0.013852448,0.16698863
ugur,1,2018-03-29 22:04:56,1713534097938,0.05519921,-0.020200545,0.17700262
ugur,1,2018-03-29 22:04:56,1713478972417,0.05463303,-0.019642593,0.17494453
ugur,1,2018-03-29 22:04:56,1713426458667,0.05700426,-0.023355003,0.17950833
ugur,1,2018-03-29 22:04:56,1713373195178,0.05676399,-0.029178953,0.19076939
ugur,1,2018-03-29 22:04:56,1713319739761,0.055387776,-0.031708136,0.19630325
ugur,1,2018-03-29 22:04:56,1713267510959,0.05674803,-0.03546799,0.20419882
