user,label,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
ugur,1,2018-03-29 22:04:55,1715578229031,-1.6590576,1.4528198,9.056717
ugur,1,2018-03-29 22:04:55,1715523707573,-1.8865051,0.9506378,9.887497
ugur,1,2018-03-29 22:04:55,1715468764604,-1.5046387,1.1697083,9.220108
ugur,1,2018-03-29 22:04:55,1715416259292,-1.5405426,1.2289581,9.330841
ugur,1,2018-03-29 22:04:55,1715362207521,-1.5309753,1.2403259,9.536743
ugur,1,2018-03-29 22:04:55,1715309173615,-1.4896698,1.1182251,9.716309
ugur,1,2018-03-29 22:04:55,1715255672937,-1.3508148,1.2139893,9.651672
ugur,1,2018-03-29 22:04:55,1715201727885,-1.3508148,1.3199463,9.672623
ugur,1,2018-03-29 22:04:55,1715149100333,-1.4872742,1.3348999,9.832428
ugur,1,2018-03-29 22:04:55,1715094380333,-1.4645386,1.3666229,9.493652
ugur,1,2018-03-29 22:04:55,1715040920906,-1.4717102,1.4216919,9.593613
ugur,1,2018-03-29 22:04:55,1714987063198,-1.2286987,1.2493134,9.354782
ugur,1,2018-03-29 22:04:55,1714934091479,-1.2927551,1.220581,9.402679
ugur,1,2018-03-29 22:04:55,1714878126167,-1.415451,0.86802673,10.028763
ugur,1,2018-03-29 22:04:55,1714822408771,-0.9258423,1.204422,9.470306
ugur,1,2018-03-29 22:04:55,1714767450333,-1.5992126,0.5657654,9.822861
ugur,1,2018-03-29 22:04:55,1714714020386,-1.1987762,1.0104828,9.365555
ugur,1,2018-03-29 22:04:55,1714658262313,-1.4046783,0.9093323,9.5894165
ugur,1,2018-03-29 22:04:55,1714603828250,-1.4788971,0.96739197,9.883911
ugur,1,2018-03-29 22:04:55,1714552153250,-1.4770966,0.95661926,9.623535
ugur,1,2018-03-29 22:04:55,1714498437469,-1.0808563,0.92370605,9.695969
ugur,1,2018-03-29 22:04:55,1714445585750,-1.23349,0.9296875,9.083649
ugur,1,2018-03-29 22:04:55,1714392256167,-0.691803,0.44606018,10.477066
ugur,1,2018-03-29 22:04:55,1714335640802,-0.75465393,1.0559845,9.576843
ugur,1,2018-03-29 22:04:55,1714279639813,-0.55892944,0.7998047,9.692368
ugur,1,2018-03-29 22:04:55,1714227146271,-0.65948486,0.98236084,10.106567
ugur,1,2018-03-29 22:04:55,1714169649448,-0.54037476,0.7321625,9.718109
ugur,1,2018-03-29 22:04:55,1714115881532,-0.60261536,1.2666626,9.291336
ugur,1,2018-03-29 22:04:55,1714063467209,-0.466156,1.3600464,9.578644
ugur,1,2018-03-29 22:04:55,1714010784500,-0.14292908,1.346283,9.5421295
ugur,1,2018-03-29 22:04:55,1713956815594,-0.053146362,0.91352844,9.991043
ugur,1,2018-03-29 22:04:55,1713903822417,-0.049560547,1.2732544,9.583435
ugur,1,2018-03-29 22:04:55,1713850857417,0.12940979,1.1690979,9.892883
ugur,1,2018-03-29 22:04:55,1713798106584,0.049804688,1.1972351,9.396088
ugur,1,2018-03-29 22:04:55,1713744798980,-0.017242432,1.1044617,9.3715515
ugur,1,2018-03-29 22:04:55,1713692095178,-0.096847534,0.9703827,10.15625
ugur,1,2018-03-29 22:04:55,1713639668667,0.061767578,1.0727386,9.860565
ugur,1,2018-03-29 22:04:55,1713585672053,0.021072388,0.75131226,10.002426
ugur,1,2018-03-29 22:04:55,1713532925542,-0.1411438,0.88539124,9.36496
ugur,1,2018-03-29 22:04:55,1713477631688,0.48434448,1.0948792,9.651077
ugur,1,2018-03-29 22:04:55,1713425725282,0.080322266,0.74772644,9.917419
ugur,1,2018-03-29 22:04:55,1713371713615,0.50650024,1.1319885,9.497238
ugur,1,2018-03-29 22:04:55,1713319151897,0.36105347,0.8979645,9.616348
ugur,1,2018-03-29 22:04:55,1713265609449,0.4645996,1.4420471,10.108368
ugur,1,2018-03-29 22:04:55,1713211405542,0.7303467,2.003479,9.233887
ugur,1,2018-03-29 22:04:55,1713158139345,0.6681061,1.6718903,9.550522
ugur,1,2018-03-29 22:04:55,1713103943876,1.6257782,0.81895447,10.436371
ugur,1,2018-03-29 22:04:55,1713052141220,0.41610718,0.9548187,8.644302
ugur,1,2018-03-29 22:04:55,1712998978147,0.46339417,0.7644806,10.385498
ugur,1,2018-03-29 22:04:55,1712944576584,1.5401917,0.5753479,10.045517
ugur,1,2018-03-29 22:04:55,1712892583043,0.70880127,0.32035828,8.911255
ugur,1,2018-03-29 22:04:55,1712840189032,0.9194946,0.754303,8.320496
ugur,1,2018-03-29 22:04:55,1712788064345,0.69444275,0.4029541,8.344437
ugur,1,2018-03-29 22:04:55,1712735719084,0.96199036,-0.6049957,10.007202
ugur,1,2018-03-29 22:04:55,1712682457834,1.4079132,-0.2584381,10.917007
ugur,1,2018-03-29 22:04:55,1712627632366,0.7578888,0.21681213,8.98848
ugur,1,2018-03-29 22:04:55,1712574021584,-0.510437,0.33532715,7.2652435
ugur,1,2018-03-29 22:04:55,1712521665959,-0.09983826,-1.1933746,10.982254
ugur,1,2018-03-29 22:04:55,1712469360907,1.6203918,0.54241943,11.845963
ugur,1,2018-03-29 22:04:55,1712416644345,2.0495605,0.8428955,11.847153
ugur,1,2018-03-29 22:04:55,1712362616949,1.6664886,1.2636719,10.737442
ugur,1,2018-03-29 22:04:55,1712308849918,1.3318939,1.8364868,8.858597
ugur,1,2018-03-29 22:04:55,1712256033668,0.76686096,1.1200256,9.573257
ugur,1,2018-03-29 22:04:55,1712202606116,0.33171082,0.9703827,8.872955
ugur,1,2018-03-29 22:04:55,1712148504345,0.34129333,1.2109985,8.461746
ugur,1,2018-03-29 22:04:55,1712093510647,0.48135376,1.2852173,7.8703766
ugur,1,2018-03-29 22:04:55,1712040149605,0.59747314,0.99432373,7.8027496
ugur,1,2018-03-29 22:04:55,1711987413251,1.0481873,-0.0034484863,8.9214325
ugur,1,2018-03-29 22:04:55,1711934366793,2.802536,-0.14710999,10.087418
ugur,1,2018-03-29 22:04:55,1711878199918,1.984314,0.5879059,9.489456
ugur,1,2018-03-29 22:04:55,1711825150647,2.4595642,-0.13453674,13.590729
