user,label,collection_datetime,device_timestamp,rotvecall_x,rotvecall_y,rotvecall_z
ugur,1,2018-03-29 22:04:56,1715577680021,0.03797173,0.10129992,0.20458223
ugur,1,2018-03-29 22:04:56,1715525399552,0.037067924,0.10510073,0.20526202
ugur,1,2018-03-29 22:04:56,1715472334604,0.04353832,0.099315725,0.2067008
ugur,1,2018-03-29 22:04:56,1715417720594,0.0432929,0.09553571,0.20634292
ugur,1,2018-03-29 22:04:56,1715364931271,0.04298892,0.09166959,0.20501696
ugur,1,2018-03-29 22:04:56,1715311321427,0.042430952,0.08799879,0.2042618
ugur,1,2018-03-29 22:04:56,1715257323094,0.041606244,0.08577005,0.20317553
ugur,1,2018-03-29 22:04:56,1715203740542,0.039282832,0.08620161,0.20238756
ugur,1,2018-03-29 22:04:56,1715150522521,0.03866594,0.084777124,0.19956166
ugur,1,2018-03-29 22:04:56,1715097240958,0.0390836,0.0830574,0.19798884
ugur,1,2018-03-29 22:04:56,1715043304240,0.040383186,0.08017491,0.19732028
ugur,1,2018-03-29 22:04:56,1714988286844,0.04137474,0.07635131,0.19631177
ugur,1,2018-03-29 22:04:56,1714933549344,0.039695166,0.07405746,0.19505219
ugur,1,2018-03-29 22:04:56,1714879651636,0.036029983,0.07030505,0.19085538
ugur,1,2018-03-29 22:04:56,1714822049917,0.03423736,0.07109316,0.19081242
ugur,1,2018-03-29 22:04:56,1714770460542,0.028384164,0.07490672,0.18727988
ugur,1,2018-03-29 22:04:56,1714715966844,0.024863016,0.07845568,0.18576601
ugur,1,2018-03-29 22:04:56,1714661411479,0.02351511,0.07857071,0.18316704
ugur,1,2018-03-29 22:04:56,1714604675854,0.022610018,0.077194296,0.1812615
ugur,1,2018-03-29 22:04:56,1714552914917,0.02237743,0.07355172,0.17853396
ugur,1,2018-03-29 22:04:56,1714500227104,0.02307952,0.066232845,0.17685045
ugur,1,2018-03-29 22:04:56,1714446520802,0.028684,0.054791965,0.1749285
ugur,1,2018-03-29 22:04:56,1714391832521,0.027306063,0.043543044,0.17199044
ugur,1,2018-03-29 22:04:56,1714339701740,0.03034443,0.04068392,0.1684411
ugur,1,2018-03-29 22:04:56,1714284171844,0.032947484,0.035734043,0.16369286
ugur,1,2018-03-29 22:04:56,1714226587990,0.032469474,0.034228105,0.1619011
ugur,1,2018-03-29 22:04:56,1714175008823,0.035926867,0.030521508,0.16070192
ugur,1,2018-03-29 22:04:56,1714117575594,0.04081552,0.030432368,0.15977144
ugur,1,2018-03-29 22:04:56,1714062908719,0.04720372,0.025584605,0.16015196
ugur,1,2018-03-29 22:04:56,1714010462678,0.0492073,0.020454861,0.16295159
ugur,1,2018-03-29 22:04:56,1713959029084,0.050621763,0.012155673,0.16358265
ugur,1,2018-03-29 22:04:56,1713905443563,0.054221407,0.0064465497,0.16299161
ugur,1,2018-03-29 22:04:56,1713852493876,0.056842025,0.0032381283,0.15917486
ugur,1,2018-03-29 22:04:56,1713799030334,0.06016929,0.003321077,0.15634198
ugur,1,2018-03-29 22:04:56,1713746842001,0.058832247,0.0055009285,0.15475115
ugur,1,2018-03-29 22:04:56,1713691897209,0.050812073,0.006971192,0.1533698
ugur,1,2018-03-29 22:04:56,1713640507261,0.046481214,0.0065728403,0.15291724
ugur,1,2018-03-29 22:04:56,1713587888667,0.043969397,0.0042722127,0.15090199
ugur,1,2018-03-29 22:04:56,1713534739032,0.043581497,0.0046109026,0.15324354
ugur,1,2018-03-29 22:04:56,1713479973407,0.04323316,0.002524375,0.15853451
ugur,1,2018-03-29 22:04:56,1713426797313,0.044655103,0.0011117196,0.1553954
ugur,1,2018-03-29 22:04:56,1713374778511,0.05398809,-0.0058697183,0.15588015
ugur,1,2018-03-29 22:04:56,1713318832365,0.06004463,-0.012677736,0.1558014
ugur,1,2018-03-29 22:04:56,1713268117678,0.06158607,-0.014065805,0.1562688
ugur,1,2018-03-29 22:04:56,1713213966376,0.07640395,-0.019937648,0.15719618
ugur,1,2018-03-29 22:04:56,1713160252678,0.093235426,-0.03607228,0.1540188
ugur,1,2018-03-29 22:04:56,1713106149970,0.082021385,-0.038371146,0.15845849
ugur,1,2018-03-29 22:04:56,1713051805178,0.06404563,-0.021490369,0.18379167
ugur,1,2018-03-29 22:04:56,1713000867782,0.06109478,-0.027252078,0.20819904
ugur,1,2018-03-29 22:04:56,1712947205959,0.06782426,-0.025997393,0.22468236
ugur,1,2018-03-29 22:04:56,1712893587470,0.074441016,-0.02164913,0.2294219
ugur,1,2018-03-29 22:04:56,1712841473824,0.07685657,-0.020719588,0.23390777
ugur,1,2018-03-29 22:04:56,1712789367990,0.076432,-0.022805963,0.23589663
ugur,1,2018-03-29 22:04:56,1712736767522,0.07767277,-0.033517443,0.23332696
ugur,1,2018-03-29 22:04:56,1712685179188,0.07896754,-0.035118606,0.23153463
ugur,1,2018-03-29 22:04:56,1712627055959,0.069493875,-0.021383598,0.22046989
ugur,1,2018-03-29 22:04:56,1712573234918,0.056077704,-0.016376708,0.20455523
ugur,1,2018-03-29 22:04:56,1712522444501,0.05294065,-0.03325994,0.18755291
ugur,1,2018-03-29 22:04:56,1712470703199,0.060609024,-0.036147486,0.18672372
ugur,1,2018-03-29 22:04:56,1712417818199,0.06641619,-0.039619565,0.18265001
ugur,1,2018-03-29 22:04:56,1712365267522,0.06426185,-0.03968724,0.17302018
ugur,1,2018-03-29 22:04:56,1712308306741,0.06102563,-0.04143784,0.15979247
ugur,1,2018-03-29 22:04:56,1712257192574,0.05929243,-0.04960213,0.14501764
ugur,1,2018-03-29 22:04:56,1712204397053,0.063154176,-0.05423308,0.13823698
ugur,1,2018-03-29 22:04:56,1712151162262,0.06727499,-0.058172807,0.13696258
ugur,1,2018-03-29 22:04:56,1712092967574,0.06801063,-0.059194703,0.13862988
ugur,1,2018-03-29 22:04:56,1712041780022,0.06680578,-0.059459466,0.14026088
ugur,1,2018-03-29 22:04:56,1711988470387,0.064003654,-0.06344153,0.14417472
ugur,1,2018-03-29 22:04:56,1711933816949,0.06353033,-0.065324426,0.15191877
ugur,1,2018-03-29 22:04:56,1711882211637,0.057114523,-0.060724992,0.15570968
ugur,1,2018-03-29 22:04:56,1711826436116,0.059428785,-0.067626566,0.15738466
ugur,1,2018-03-29 22:04:56,1711772855439,0.0724885,-0.058785204,0.16746566
ugur,1,2018-03-29 22:04:56,1711721925074,0.075093515,-0.05785919,0.16948487
ugur,1,2018-03-29 22:04:56,1711669448251,0.07158128,-0.051144607,0.170662
ugur,1,2018-03-29 22:04:56,1711615767991,0.07324392,-0.044901688,0.17365229
ugur,1,2018-03-29 22:04:56,1711562406481,0.077018574,-0.039303157,0.17603411
ugur,1,2018-03-29 22:04:56,1711508878564,0.078637846,-0.032312546,0.17702588
ugur,1,2018-03-29 22:04:56,1711454552314,0.07439577,-0.031177038,0.17078795
ugur,1,2018-03-29 22:04:56,1711400255491,0.070096985,-0.03700624,0.15832607
ugur,1,2018-03-29 22:04:56,1711346689449,0.066140525,-0.034897186,0.14573528
ugur,1,2018-03-29 22:04:56,1711294100439,0.06264073,-0.023716398,0.13639733
ugur,1,2018-03-29 22:04:56,1711242198772,0.05311658,-0.026465494,0.124899015
ugur,1,2018-03-29 22:04:56,1711191058147,0.048775285,-0.037491485,0.11941733
ugur,1,2018-03-29 22:04:56,1711137434241,0.055241928,-0.041926973,0.11984917
ugur,1,2018-03-29 22:04:56,1711082322991,0.051817868,-0.041083988,0.11384349
ugur,1,2018-03-29 22:04:56,1711031358095,0.047988296,-0.045381065,0.106171824
ugur,1,2018-03-29 22:04:56,1710979012262,0.048840694,-0.05136092,0.100580625
ugur,1,2018-03-29 22:04:56,1710926673981,0.058857445,-0.05143731,0.10572951
ugur,1,2018-03-29 22:04:56,1710874902262,0.065201096,-0.053228084,0.115215704
ugur,1,2018-03-29 22:04:56,1710822000491,0.06599079,-0.05382541,0.12580931
ugur,1,2018-03-29 22:04:56,1710771147054,0.06371001,-0.05848051,0.13501728
ugur,1,2018-03-29 22:04:56,1710718153095,0.059241008,-0.06762728,0.14360571
ugur,1,2018-03-29 22:04:56,1710663901481,0.054439656,-0.0676948,0.15667023
ugur,1,2018-03-29 22:04:56,1710609713825,0.040944964,-0.07140147,0.15549397
ugur,1,2018-03-29 22:04:56,1710555737835,0.041089714,-0.07423436,0.15718323
ugur,1,2018-03-29 22:04:56,1710502015596,0.05621505,-0.06372202,0.16945451
ugur,1,2018-03-29 22:04:56,1710448192523,0.059675764,-0.05685914,0.17327832
ugur,1,2018-03-29 22:04:56,1710394994085,0.06112848,-0.040390752,0.1788267
ugur,1,2018-03-29 22:04:56,1710341444137,0.06676817,-0.03670485,0.18502621
ugur,1,2018-03-29 22:04:56,1710287263200,0.069330096,-0.030124526,0.18953224
ugur,1,2018-03-29 22:04:56,1710233603096,0.06777506,-0.025936024,0.1892778
ugur,1,2018-03-29 22:04:56,1710180843773,0.0630691,-0.030965233,0.18125013
