user,label,collection_datetime,device_timestamp,rotvecgyro_x,rotvecgyro_y,rotvecgyro_z
ugur,1,2018-03-23 10:34:21,238250907020085,0.09430972,-0.059637364,-0.71962774
ugur,1,2018-03-23 10:34:21,238250853045547,0.0950378,-0.060189154,-0.71940565
ugur,1,2018-03-23 10:34:21,238250795569432,0.096072905,-0.06509375,-0.71927273
ugur,1,2018-03-23 10:34:21,238250736411932,0.094351396,-0.066177666,-0.71936876
ugur,1,2018-03-23 10:34:21,238250677165778,0.09336281,-0.06729204,-0.7190532
ugur,1,2018-03-23 10:34:21,238250620339278,0.09246487,-0.067898884,-0.71884394
ugur,1,2018-03-23 10:34:21,238250562417278,0.09262569,-0.068457924,-0.71828645
ugur,1,2018-03-23 10:34:21,238250502823624,0.09250194,-0.068547994,-0.718437
ugur,1,2018-03-23 10:34:21,238250443348970,0.09193462,-0.06960852,-0.7178887
ugur,1,2018-03-23 10:34:21,238250383698893,0.09059198,-0.07001268,-0.71760476
ugur,1,2018-03-23 10:34:21,238250323669355,0.090406984,-0.07001642,-0.71707934
ugur,1,2018-03-23 10:34:21,238250263983855,0.09012389,-0.069588535,-0.7166328
ugur,1,2018-03-23 10:34:21,238250206848701,0.089540794,-0.06927401,-0.71662134
ugur,1,2018-03-23 10:34:21,238250148810432,0.089048274,-0.070551716,-0.71688855
ugur,1,2018-03-23 10:34:21,238250089247432,0.08912544,-0.07027367,-0.7172252
ugur,1,2018-03-23 10:34:21,238250029651817,0.08982744,-0.071233034,-0.71713847
ugur,1,2018-03-23 10:34:21,238249970196086,0.0898101,-0.070743956,-0.7175893
ugur,1,2018-03-23 10:34:21,238249910759471,0.08937444,-0.07081852,-0.71822983
ugur,1,2018-03-23 10:34:21,238249851322125,0.088791184,-0.07030165,-0.71913314
ugur,1,2018-03-23 10:34:21,238249792145894,0.088884816,-0.07074408,-0.7190803
ugur,1,2018-03-23 10:34:21,238249732490432,0.08791191,-0.07160464,-0.7193554
ugur,1,2018-03-23 10:34:21,238249673192932,0.08836778,-0.07116238,-0.71921825
ugur,1,2018-03-23 10:34:21,238249612772855,0.08727782,-0.07129362,-0.7194727
ugur,1,2018-03-23 10:34:21,238249552955394,0.086228564,-0.07148974,-0.7192622
ugur,1,2018-03-23 10:34:21,238249493040394,0.084414065,-0.07066243,-0.7192341
ugur,1,2018-03-23 10:34:21,238249432906548,0.082781054,-0.07038715,-0.71871316
ugur,1,2018-03-23 10:34:21,238249373724471,0.08111077,-0.069461934,-0.71859396
ugur,1,2018-03-23 10:34:21,238249313049279,0.081090406,-0.06871293,-0.7185744
ugur,1,2018-03-23 10:34:21,238249251791817,0.0814857,-0.06810618,-0.7188343
ugur,1,2018-03-23 10:34:21,238249192109894,0.082396485,-0.06880471,-0.7187626
ugur,1,2018-03-23 10:34:21,238249132741279,0.08174358,-0.06856602,-0.7192991
ugur,1,2018-03-23 10:34:21,238249073613740,0.081735805,-0.06852801,-0.72003275
ugur,1,2018-03-23 10:34:21,238249014385317,0.07979276,-0.06684746,-0.72064334
ugur,1,2018-03-23 10:34:21,238248955375317,0.07799938,-0.06539681,-0.7211829
ugur,1,2018-03-23 10:34:21,238248895439394,0.0758587,-0.06504276,-0.7216776
ugur,1,2018-03-23 10:34:21,238248835586164,0.0726729,-0.06648101,-0.72199786
ugur,1,2018-03-23 10:34:21,238248776059433,0.07022256,-0.06901153,-0.7213384
ugur,1,2018-03-23 10:34:21,238248716197702,0.06698133,-0.06759201,-0.7212203
ugur,1,2018-03-23 10:34:21,238248656755587,0.067779414,-0.068033144,-0.72010386
ugur,1,2018-03-23 10:34:21,238248602067318,0.06721221,-0.06720273,-0.7198461
ugur,1,2018-03-23 10:34:21,238248547769549,0.06796918,-0.068324044,-0.71911514
ugur,1,2018-03-23 10:34:21,238248492978472,0.06762024,-0.067951724,-0.7187975
ugur,1,2018-03-23 10:34:21,238248434140779,0.06736051,-0.067707226,-0.71816266
ugur,1,2018-03-23 10:34:21,238248374587241,0.06673836,-0.06712017,-0.7180743
ugur,1,2018-03-23 10:34:21,238248314676356,0.066263504,-0.06701004,-0.71778774
ugur,1,2018-03-23 10:34:21,238248254635472,0.06629739,-0.067058556,-0.71745485
ugur,1,2018-03-23 10:34:21,238248195060741,0.06635269,-0.06712481,-0.71720517
ugur,1,2018-03-23 10:34:21,238248135911780,0.06716566,-0.06737401,-0.7168047
ugur,1,2018-03-23 10:34:21,238248076771741,0.067122385,-0.0675866,-0.71677154
ugur,1,2018-03-23 10:34:21,238248017657434,0.06765201,-0.067773476,-0.7168074
ugur,1,2018-03-23 10:34:21,238247958039395,0.06723777,-0.06735392,-0.71769696
ugur,1,2018-03-23 10:34:21,238247898593857,0.06816629,-0.06840288,-0.71751547
ugur,1,2018-03-23 10:34:21,238247838871511,0.06755997,-0.066843264,-0.71837354
ugur,1,2018-03-23 10:34:21,238247779107703,0.06777642,-0.06611956,-0.71898407
ugur,1,2018-03-23 10:34:21,238247719986357,0.067703195,-0.06565681,-0.7195549
ugur,1,2018-03-23 10:34:21,238247660710703,0.0681963,-0.06607923,-0.7195694
ugur,1,2018-03-23 10:34:21,238247601055472,0.06864499,-0.066198595,-0.7196169
ugur,1,2018-03-23 10:34:21,238247540960242,0.06893707,-0.06620155,-0.7197211
ugur,1,2018-03-23 10:34:21,238247480943242,0.069251396,-0.06706915,-0.71928096
ugur,1,2018-03-23 10:34:21,238247423972857,0.06900117,-0.066878974,-0.71931446
ugur,1,2018-03-23 10:34:21,238247365882434,0.06946496,-0.06631819,-0.7192928
ugur,1,2018-03-23 10:34:21,238247309402280,0.06947854,-0.065602474,-0.719801
ugur,1,2018-03-23 10:34:21,238247255544819,0.070025206,-0.06546289,-0.7198073
ugur,1,2018-03-23 10:34:21,238247200143049,0.069179244,-0.06517869,-0.7202322
ugur,1,2018-03-23 10:34:21,238247141697857,0.06942156,-0.06548167,-0.720382
ugur,1,2018-03-23 10:34:21,238247081900703,0.06860213,-0.06552583,-0.72138095
ugur,1,2018-03-23 10:34:21,238247021582511,0.06752707,-0.06553216,-0.7224169
ugur,1,2018-03-23 10:34:21,238246961765204,0.06674343,-0.06650374,-0.7229439
ugur,1,2018-03-23 10:34:21,238246901974434,0.06573452,-0.066288486,-0.7235619
ugur,1,2018-03-23 10:34:21,238246842148050,0.06495541,-0.0669155,-0.7234587
ugur,1,2018-03-23 10:34:21,238246781857127,0.06421094,-0.066434376,-0.72358125
ugur,1,2018-03-23 10:34:21,238246722513011,0.063833736,-0.06614536,-0.7239588
ugur,1,2018-03-23 10:34:21,238246662833627,0.06287069,-0.06616828,-0.72433835
ugur,1,2018-03-23 10:34:21,238246603117858,0.06201741,-0.067369394,-0.7246691
ugur,1,2018-03-23 10:34:21,238246540755242,0.0595192,-0.06842628,-0.7247556
ugur,1,2018-03-23 10:34:21,238246479847588,0.05823939,-0.06833609,-0.7252606
ugur,1,2018-03-23 10:34:21,238246420397819,0.055717193,-0.069416784,-0.7249789
ugur,1,2018-03-23 10:34:21,238246360744127,0.054631963,-0.06997192,-0.72477037
ugur,1,2018-03-23 10:34:21,238246300985973,0.055096563,-0.07113989,-0.7239011
ugur,1,2018-03-23 10:34:21,238246241092819,0.055688683,-0.07092818,-0.7222343
ugur,1,2018-03-23 10:34:21,238246181224396,0.05483796,-0.06983005,-0.7211862
ugur,1,2018-03-23 10:34:21,238246120901973,0.052417055,-0.0699654,-0.72012115
ugur,1,2018-03-23 10:34:21,238246061410589,0.050098132,-0.069620624,-0.7196711
ugur,1,2018-03-23 10:34:21,238246001989281,0.04842326,-0.071038544,-0.71880627
ugur,1,2018-03-23 10:34:21,238245942359820,0.047658183,-0.07203362,-0.7172984
ugur,1,2018-03-23 10:34:21,238245882557666,0.045464307,-0.07234356,-0.7165531
ugur,1,2018-03-23 10:34:21,238245822933589,0.044088025,-0.07113816,-0.71564573
ugur,1,2018-03-23 10:34:21,238245763212166,0.040470514,-0.068017595,-0.7157962
ugur,1,2018-03-23 10:34:21,238245703190435,0.03719235,-0.06329423,-0.71711725
ugur,1,2018-03-23 10:34:21,238245643499166,0.03517366,-0.059072603,-0.7177629
ugur,1,2018-03-23 10:34:21,238245583831551,0.03339857,-0.053048458,-0.71999484
ugur,1,2018-03-23 10:34:21,238245524254666,0.0327937,-0.049034,-0.7226186
ugur,1,2018-03-23 10:34:21,238245464744820,0.030760309,-0.044696033,-0.72712433
ugur,1,2018-03-23 10:34:21,238245405130974,0.028353062,-0.04126237,-0.73111784
ugur,1,2018-03-23 10:34:21,238245345052012,0.026149143,-0.034188963,-0.731951
ugur,1,2018-03-23 10:34:21,238245285104435,0.021708626,-0.03026381,-0.7315039
ugur,1,2018-03-23 10:34:21,238245224947359,0.014790848,-0.04006767,-0.7309665
ugur,1,2018-03-23 10:34:21,238245164928012,0.00962633,-0.04526099,-0.7274046
ugur,1,2018-03-23 10:34:21,238245105526551,0.007435178,-0.048167706,-0.7211343
ugur,1,2018-03-23 10:34:21,238245045222974,0.010076767,-0.04424854,-0.7146175
ugur,1,2018-03-23 10:34:21,238244986144051,0.014435331,-0.04417367,-0.7068546
ugur,1,2018-03-23 10:34:21,238244928395090,0.015770333,-0.051478025,-0.6940023
ugur,1,2018-03-23 10:34:21,238244867534013,0.01567105,-0.05204152,-0.6816167
ugur,1,2018-03-23 10:34:21,238244807155282,0.022587482,-0.038428113,-0.6740343
ugur,1,2018-03-23 10:34:21,238244747417859,0.03398347,-0.040394854,-0.66868496
ugur,1,2018-03-23 10:34:21,238244688225244,0.050439753,-0.053189825,-0.6660461
ugur,1,2018-03-23 10:34:21,238244629181244,0.05264366,-0.058369394,-0.66704446
ugur,1,2018-03-23 10:34:21,238244570132936,0.053696793,-0.061713938,-0.6719027
ugur,1,2018-03-23 10:34:21,238244510703667,0.04718046,-0.06577717,-0.68066466
ugur,1,2018-03-23 10:34:21,238244451106898,0.0409226,-0.061640345,-0.693967
ugur,1,2018-03-23 10:34:21,238244391714013,0.03928405,-0.06381766,-0.7059205
ugur,1,2018-03-23 10:34:21,238244332520475,0.050999638,-0.07121653,-0.713405
ugur,1,2018-03-23 10:34:21,238244273289859,0.048549607,-0.07551725,-0.72633016
ugur,1,2018-03-23 10:34:21,238244214019167,0.041377664,-0.07758138,-0.74079806
