user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-23 10:34:21,238250909091470,242.56725,-12.285258,-3.2318842
ugur,1,2018-03-23 10:34:21,238250854633201,242.552,-12.526023,-3.1846163
ugur,1,2018-03-23 10:34:21,238250799051432,242.60965,-13.017835,-2.8845549
ugur,1,2018-03-23 10:34:21,238250739902316,242.76068,-12.970946,-2.6682062
ugur,1,2018-03-23 10:34:21,238250680919278,242.30807,-12.990508,-2.4848378
ugur,1,2018-03-23 10:34:21,238250622527816,241.83768,-12.968369,-2.3422449
ugur,1,2018-03-23 10:34:21,238250566039586,242.26843,-13.029622,-2.3011546
ugur,1,2018-03-23 10:34:21,238250506642778,242.31726,-13.026824,-2.2862284
ugur,1,2018-03-23 10:34:21,238250447152855,242.24728,-13.072068,-2.1426306
ugur,1,2018-03-23 10:34:21,238250387591778,242.16652,-13.000061,-1.989321
ugur,1,2018-03-23 10:34:21,238250327925393,241.98657,-12.9764805,-1.9789495
ugur,1,2018-03-23 10:34:21,238250267688470,242.63869,-12.930359,-1.9618803
ugur,1,2018-03-23 10:34:21,238250209141047,242.53467,-12.880343,-1.9362019
ugur,1,2018-03-23 10:34:21,238250152407278,242.199,-12.924266,-1.7999401
ugur,1,2018-03-23 10:34:21,238250093086624,242.09164,-12.906361,-1.8351403
ugur,1,2018-03-23 10:34:21,238250033400163,242.34595,-13.042249,-1.8176931
ugur,1,2018-03-23 10:34:21,238249973893509,242.15894,-12.998931,-1.8637171
ugur,1,2018-03-23 10:34:21,238249914508855,242.45656,-12.968846,-1.8325889
ugur,1,2018-03-23 10:34:21,238249855056663,242.58704,-12.877064,-1.8405633
ugur,1,2018-03-23 10:34:21,238249795805625,242.63577,-12.921525,-1.8126035
ugur,1,2018-03-23 10:34:21,238249736520855,242.56863,-12.915559,-1.6658422
ugur,1,2018-03-23 10:34:21,238249676762932,242.84262,-12.915101,-1.7375356
ugur,1,2018-03-23 10:34:21,238249616716894,243.17754,-12.839098,-1.6380472
ugur,1,2018-03-23 10:34:21,238249556770240,243.25148,-12.772792,-1.5281466
ugur,1,2018-03-23 10:34:21,238249496809163,243.18546,-12.559911,-1.4371091
ugur,1,2018-03-23 10:34:21,238249436594779,243.20859,-12.4084015,-1.3091428
ugur,1,2018-03-23 10:34:21,238249377166933,242.42044,-12.198872,-1.2373118
ugur,1,2018-03-23 10:34:21,238249317767356,242.31506,-12.134921,-1.2789043
ugur,1,2018-03-23 10:34:21,238249256893394,242.52997,-12.115285,-1.3812983
ugur,1,2018-03-23 10:34:21,238249195766010,242.40817,-12.245931,-1.4026239
