user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,238250908065970,-0.42101747,-0.05041313,-0.5550661
ugur,1,2018-03-23 10:34:21,238250854129739,0.01707232,-0.019998312,0.32960796
ugur,1,2018-03-23 10:34:21,238250797949932,-0.09617868,0.03677082,-1.4788418
ugur,1,2018-03-23 10:34:21,238250738804008,-0.06269866,-0.09187889,0.028348923
ugur,1,2018-03-23 10:34:21,238250679639932,0.0048776865,-0.0017676353,-0.11113739
ugur,1,2018-03-23 10:34:21,238250621848624,-0.018847764,0.023472548,-0.017222404
ugur,1,2018-03-23 10:34:21,238250564908662,0.14419797,0.0036804676,-0.16118908
ugur,1,2018-03-23 10:34:21,238250505514932,-0.12643528,-0.000641346,0.001408577
ugur,1,2018-03-23 10:34:21,238250446065124,0.038713694,-0.048886538,-0.34253407
ugur,1,2018-03-23 10:34:21,238250386475547,0.013266623,-0.09912896,-0.075689316
ugur,1,2018-03-23 10:34:21,238250326611278,0.061569065,-0.001213789,-0.21519947
ugur,1,2018-03-23 10:34:21,238250266393470,0.14801395,0.008265018,-0.04020214
ugur,1,2018-03-23 10:34:21,238250208479740,0.1266724,0.035763025,-0.14761639
ugur,1,2018-03-23 10:34:21,238250151317432,0.015310764,0.042800188,-0.046123505
ugur,1,2018-03-23 10:34:21,238250091888778,-0.12005597,-0.078710794,0.077877045
ugur,1,2018-03-23 10:34:21,238250032108278,0.054040015,-0.008001804,-0.27133846
ugur,1,2018-03-23 10:34:21,238249972576124,0.047399312,0.056682587,-0.09558964
ugur,1,2018-03-23 10:34:21,238249913221701,0.11167954,0.061700106,-0.24056625
ugur,1,2018-03-23 10:34:21,238249853896278,-0.18615341,-0.08579373,0.1510086
ugur,1,2018-03-23 10:34:21,238249794727471,0.08685741,0.06719947,-0.35261822
ugur,1,2018-03-23 10:34:21,238249735417894,-0.05731806,0.061012268,0.036664963
ugur,1,2018-03-23 10:34:21,238249675668625,0.021675318,0.0060219765,-0.121014595
ugur,1,2018-03-23 10:34:21,238249615439202,-0.081023365,-0.08424711,-0.03821087
ugur,1,2018-03-23 10:34:21,238249555677432,-0.04901114,0.008222103,-0.2998066
ugur,1,2018-03-23 10:34:21,238249495702432,-0.025694713,-0.06396747,-0.028064728
ugur,1,2018-03-23 10:34:21,238249435501509,0.02009879,0.07148504,-0.19459152
ugur,1,2018-03-23 10:34:21,238249376081009,0.036989942,-0.03952241,0.14465904
ugur,1,2018-03-23 10:34:21,238249316429125,0.11846111,0.07412815,-0.022634506
ugur,1,2018-03-23 10:34:21,238249255765240,0.07790369,0.051077843,0.0057287216
ugur,1,2018-03-23 10:34:21,238249194627087,0.09811528,0.07231569,-0.48985577
ugur,1,2018-03-23 10:34:21,238249135242125,0.052905217,-0.013670683,0.14186192
ugur,1,2018-03-23 10:34:21,238249076037471,-0.15278381,-0.053491116,-0.25330734
ugur,1,2018-03-23 10:34:21,238249016746510,0.028009713,0.027083635,-0.01732254
ugur,1,2018-03-23 10:34:21,238248957737587,-0.0030617267,0.08810198,-0.123643875
ugur,1,2018-03-23 10:34:21,238248898215241,0.083370134,0.06112635,-0.30763626
ugur,1,2018-03-23 10:34:21,238248838535241,-0.06873189,-0.045542717,0.1923542
ugur,1,2018-03-23 10:34:21,238248778553856,0.10632497,-0.036962032,-0.40966225
ugur,1,2018-03-23 10:34:21,238248718782202,-0.12754282,-0.067209125,0.4654932
ugur,1,2018-03-23 10:34:21,238248658820587,-0.03456541,0.12061739,-0.4436655
ugur,1,2018-03-23 10:34:21,238248602940510,-0.029180571,0.115196824,0.02395153
ugur,1,2018-03-23 10:34:21,238248548793625,0.05491189,0.006657958,-0.15371227
ugur,1,2018-03-23 10:34:21,238248494270087,-0.08410503,-0.121053815,0.024621964
ugur,1,2018-03-23 10:34:21,238248436840087,0.04991671,-0.01800692,-0.19419861
ugur,1,2018-03-23 10:34:21,238248377305549,-0.0546186,-0.03425014,-0.07258701
ugur,1,2018-03-23 10:34:21,238248317209203,0.019950464,0.0038616657,-0.026521683
ugur,1,2018-03-23 10:34:21,238248257367318,-0.04420403,0.022048116,-0.067495346
ugur,1,2018-03-23 10:34:21,238248197711010,-0.050187342,-0.10697901,0.16993046
