user,label,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
ugur,1,2018-03-23 10:34:21,238250909590931,-1.0031705,2.0111294,9.011775
ugur,1,2018-03-23 10:34:21,238250855106547,-0.48602295,2.1763294,9.923966
ugur,1,2018-03-23 10:34:21,238250800387701,-0.81163436,2.3774424,8.683769
ugur,1,2018-03-23 10:34:21,238250741129124,-0.50757074,2.1092918,9.574412
ugur,1,2018-03-23 10:34:21,238250681998432,-0.40940848,2.2026656,9.435549
ugur,1,2018-03-23 10:34:21,238250623196701,-0.40940848,2.2242134,9.531317
ugur,1,2018-03-23 10:34:21,238250567136432,-0.22266077,2.2337902,9.421184
ugur,1,2018-03-23 10:34:21,238250507711316,-0.45250413,2.2290018,9.536105
ugur,1,2018-03-23 10:34:21,238250448299547,-0.34955344,2.2936451,9.169792
ugur,1,2018-03-23 10:34:21,238250388920278,-0.28491,2.1787236,9.514558
ugur,1,2018-03-23 10:34:21,238250329056240,-0.22744916,2.2122424,9.442732
ugur,1,2018-03-23 10:34:21,238250268800586,-0.23942018,2.2266076,9.502586
ugur,1,2018-03-23 10:34:21,238250209787317,-0.19632454,2.2218192,9.406818
ugur,1,2018-03-23 10:34:21,238250153795470,-0.34237084,2.207454,9.55047
ugur,1,2018-03-23 10:34:21,238250094318317,-0.36631286,2.1428106,9.689334
ugur,1,2018-03-23 10:34:21,238250034605817,-0.2681506,2.1906946,9.277532
ugur,1,2018-03-23 10:34:21,238249975051817,-0.2705448,2.2361844,9.416395
ugur,1,2018-03-23 10:34:21,238249915585163,-0.22026655,2.243367,9.313444
ugur,1,2018-03-23 10:34:21,238249856130317,-0.47165772,2.0733786,9.734824
ugur,1,2018-03-23 10:34:21,238249796908278,-0.23702596,2.2888567,9.136273
ugur,1,2018-03-23 10:34:21,238249737685125,-0.32321724,2.1883004,9.737218
ugur,1,2018-03-23 10:34:21,238249677937625,-0.34476504,2.2026656,9.454702
ugur,1,2018-03-23 10:34:21,238249617892509,-0.38067806,2.1859062,9.325416
ugur,1,2018-03-23 10:34:21,238249557987163,-0.20590134,2.0805612,9.449914
ugur,1,2018-03-23 10:34:21,238249498115471,-0.19153613,2.1140802,9.488221
ugur,1,2018-03-23 10:34:21,238249437949471,-0.22266077,2.1787236,9.540894
ugur,1,2018-03-23 10:34:21,238249378467125,-0.17956513,2.1068976,9.655815
ugur,1,2018-03-23 10:34:21,238249319005202,-0.107739076,2.1643584,9.569624
ugur,1,2018-03-23 10:34:21,238249258074086,-0.20350714,2.0518308,9.562442
ugur,1,2018-03-23 10:34:21,238249196847048,-0.17717093,2.1547816,9.093178
ugur,1,2018-03-23 10:34:21,238249137464933,-0.19632454,2.0614076,9.720459
ugur,1,2018-03-23 10:34:21,238249078308702,-0.25857377,2.030283,9.301474
ugur,1,2018-03-23 10:34:21,238249019006971,-0.18674773,2.087744,9.483433
ugur,1,2018-03-23 10:34:21,238248959939625,-0.20350714,2.1140802,9.478644
ugur,1,2018-03-23 10:34:21,238248900829741,-0.12210429,2.0087352,9.301474
ugur,1,2018-03-23 10:34:21,238248840952664,-0.21308395,1.8698715,9.809045
ugur,1,2018-03-23 10:34:21,238248781093433,0.031124622,1.8890251,9.205706
ugur,1,2018-03-23 10:34:21,238248721088702,-0.16998832,1.7932571,10.093954
ugur,1,2018-03-23 10:34:21,238248661360741,-0.074220255,1.9967642,9.181764
ugur,1,2018-03-23 10:34:21,238248603753164,-0.110133275,2.0446482,9.648633
ugur,1,2018-03-23 10:34:21,238248549954125,0.021547815,1.8842367,9.471462
ugur,1,2018-03-23 10:34:21,238248495517010,-0.12449849,1.7549498,9.627085
ugur,1,2018-03-23 10:34:21,238248439032933,0.01436521,1.8483237,9.433155
ugur,1,2018-03-23 10:34:21,238248379500126,-0.08619126,1.8171991,9.557653
ugur,1,2018-03-23 10:34:21,238248319534010,-0.0047884034,1.8459295,9.605537
ugur,1,2018-03-23 10:34:21,238248259536010,-0.06943185,1.8626889,9.564836
ugur,1,2018-03-23 10:34:21,238248199892280,-0.07182605,1.7357962,9.801862
ugur,1,2018-03-23 10:34:21,238248140616472,-0.06703765,1.8076223,9.32781
ugur,1,2018-03-23 10:34:21,238248081453703,-0.016759412,1.8076223,9.715671
ugur,1,2018-03-23 10:34:21,238248022434934,0.17477672,1.8363527,9.382876
ugur,1,2018-03-23 10:34:21,238247963199241,-0.1340753,1.7741034,9.78989
ugur,1,2018-03-23 10:34:21,238247903485857,0.1436521,1.8267759,9.052477
ugur,1,2018-03-23 10:34:21,238247843762280,0.0023942017,1.8986019,9.703699
ugur,1,2018-03-23 10:34:21,238247784428780,0.009576807,1.8986019,9.660604
ugur,1,2018-03-23 10:34:21,238247724780011,-0.20350714,1.8746599,9.722853
ugur,1,2018-03-23 10:34:21,238247665492318,-0.08379706,1.8794483,9.531317
ugur,1,2018-03-23 10:34:21,238247606145088,-0.12689269,1.8722657,9.586384
ugur,1,2018-03-23 10:34:21,238247546455203,-0.14604631,1.7956513,9.552865
ugur,1,2018-03-23 10:34:21,238247486203972,0.007182605,1.9129672,9.136273
ugur,1,2018-03-23 10:34:21,238247427030242,-0.21068975,1.8315643,9.691729
ugur,1,2018-03-23 10:34:21,238247370662434,-0.04309563,1.9919758,9.394848
ugur,1,2018-03-23 10:34:21,238247311237088,-0.11252748,1.8459295,9.61272
ugur,1,2018-03-23 10:34:21,238247257681626,-0.06703765,1.958457,9.469068
ugur,1,2018-03-23 10:34:21,238247203213742,-0.08619126,1.8938135,9.722853
ugur,1,2018-03-23 10:34:21,238247146863780,0.045489833,1.9680338,9.385271
ugur,1,2018-03-23 10:34:21,238247087173626,-0.1316811,1.8650831,9.370906
ugur,1,2018-03-23 10:34:21,238247027052511,-0.090979666,1.8938135,9.593566
ugur,1,2018-03-23 10:34:21,238246967020934,-0.08619126,1.8914193,9.421184
ugur,1,2018-03-23 10:34:21,238246907121742,-0.25139117,1.7812861,9.636662
ugur,1,2018-03-23 10:34:21,238246847402050,-0.1316811,1.8507179,9.485827
ugur,1,2018-03-23 10:34:21,238246786772781,-0.016759412,1.8459295,9.579201
ugur,1,2018-03-23 10:34:21,238246727343242,0.093373865,1.8722657,9.368511
ugur,1,2018-03-23 10:34:21,238246667622973,-0.10055647,1.7405846,9.713276
ugur,1,2018-03-23 10:34:21,238246608058435,0.15083471,1.9057846,9.490616
ugur,1,2018-03-23 10:34:21,238246547229435,0.14844051,1.8842367,9.593566
ugur,1,2018-03-23 10:34:21,238246484878704,-0.44532153,1.8842367,9.622296
ugur,1,2018-03-23 10:34:21,238246425456896,-0.055066638,1.8746599,9.330204
ugur,1,2018-03-23 10:34:21,238246365969165,-0.11731588,1.7357962,9.868899
ugur,1,2018-03-23 10:34:21,238246306276550,-0.095768064,1.7310078,9.41879
ugur,1,2018-03-23 10:34:21,238246246574358,0.05746084,1.8626889,9.490616
ugur,1,2018-03-23 10:34:21,238246186597973,0.23223756,1.910573,9.11712
ugur,1,2018-03-23 10:34:21,238246126590473,0.110133275,1.946486,9.548077
ugur,1,2018-03-23 10:34:21,238246066508320,0.09816227,1.8890251,9.720459
ugur,1,2018-03-23 10:34:21,238246006926512,0.074220255,1.9776106,9.7084875
ugur,1,2018-03-23 10:34:21,238245947336397,0.16519992,1.9393034,9.131485
ugur,1,2018-03-23 10:34:21,238245887711666,0.07182605,1.9057846,9.624691
ugur,1,2018-03-23 10:34:21,238245827852127,0.44532153,1.9081788,9.13388
ugur,1,2018-03-23 10:34:21,238245768098781,0.59615624,2.0159178,9.722853
ugur,1,2018-03-23 10:34:21,238245708383666,0.23702596,1.7884687,10.019734
ugur,1,2018-03-23 10:34:21,238245648371012,0.2753332,1.6567876,9.435549
ugur,1,2018-03-23 10:34:21,238245588742897,0.5434838,1.6998832,9.378088
ugur,1,2018-03-23 10:34:21,238245529062858,0.5363012,1.7429788,9.425972
ugur,1,2018-03-23 10:34:21,238245469619281,0.19632454,1.6089035,9.739613
ugur,1,2018-03-23 10:34:21,238245409961935,-0.2801216,1.4053963,9.428367
ugur,1,2018-03-23 10:34:21,238245350465012,0.4213795,1.6519991,9.713276
ugur,1,2018-03-23 10:34:21,238245290475743,-0.30885202,1.4221559,9.617508
ugur,1,2018-03-23 10:34:21,238245229941128,-0.33518824,1.2066777,9.562442
ugur,1,2018-03-23 10:34:21,238245169951666,-0.090979666,1.6831238,9.203311
ugur,1,2018-03-23 10:34:21,238245110234782,0.107739076,1.6496049,9.7324295
ugur,1,2018-03-23 10:34:21,238245051064089,0.14844051,1.5370775,10.139444
ugur,1,2018-03-23 10:34:21,238244989395205,-0.20590134,1.5514427,8.252813
ugur,1,2018-03-23 10:34:21,238244932812205,-0.23702596,2.1811178,8.322245
ugur,1,2018-03-23 10:34:21,238244873631820,0.9504981,1.0055647,10.247183
ugur,1,2018-03-23 10:34:21,238244812061782,0.5363012,0.79487497,10.402806
